更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,独立行政法人日本スポーツ振興センター,公社・官公庁・学校・研究施設,1,◆スポーツ施設の運営及びスポーツの普及・振興に関する業務◆災害共済給付に関する業務◆国際競技力向上のための研究・支援等に関する業務◆スポーツ・インテグリティの保護・強化に関する業務◆スポーツ振興投票等業務◆スポーツ振興のための助成業務◆登山に関する指導者養成及び調査研究業務◆スポーツ博物館・図書館の管理・運営業務◆関係機関との連携・協動に関する取組◆関係行政機関からの受託業務,東京都新宿区霞ヶ丘町4-1,2003,859,"2,573億55百万円",,https://www.jpnsport.go.jp/anzen/,,理事長 芦立 訓
2024-08-01,神奈川県自動車整備商工組合,公社・官公庁・学校・研究施設,1,組合員事業者を対象とした自動車整備用機械工具、油脂類、用品の共同購買、共済保険等各種保険の斡旋、予備検査、経営支援等,神奈川県横浜市都筑区池辺町3660,1976,,,,https://www.car-jp.com/,,理事長 印出 和憲
2024-08-01,一般財団法人生物科学安全研究所,公社・官公庁・学校・研究施設,1,■人体用医薬品（バイオ医薬品）・医療機器・再生医療等製品に関するウイルス否定等の試験■品質管理試験■動物用医薬品・ワクチン・医療機器・再生医療等製品に関する非臨床・臨床試験■検査（狂犬病抗体検査、食品検査、臨床検査）■薬事コンサルティング■水産用医薬品に関する試験■飼料・飼料添加物に関する試験■農薬・化学物質に関する試験■生物応答を用いた排水管理手法,神奈川県相模原市緑区橋本台3-7-11,1974,81,,,https://www.riasbt.jp/,,理事長 山本 実
2024-07-01,株式会社環境衛生科学研究所,公社・官公庁・学校・研究施設,1,■環境コンサルティング業 ■環境計量証明事業（水質・大気・騒音振動 等）,長崎本社ラボ／長崎県長崎市田中町603-3,1974,37,,,https://www.ec-kaken.co.jp/,,代表取締役社長 新宮 一広
2024-05-01,公益財団法人宮崎県環境科学協会 　(宮崎県指定浄化槽法定検査機関),公社・官公庁・学校・研究施設,1,＜公益財団法人＞環境に関する測定分析環境計量証明事業,宮崎県宮崎市大字田吉字ヅンブリ6258番地20,1973,81,"7,000万円",,https://miyazaki-kankyo.or.jp/,,理事長 石井 浩二
2024-08-01,学校法人永守学園,公社・官公庁・学校・研究施設,4,■事業内容：教育機関（大学・大学院、幼稚園・保育園）の運営下記建学の精神に基づき、2018年から様々な改革を進めています。・本学では、未来につながる課題を自ら設定し、それを解決することができる先端人材を輩出します。・本学では、これからの社会が目指すべき姿を構想し、その実現に向けた諸課題の解決に繋がる先端学術研究を実践します。・本学は、人材輩出・研究の実践を通じ、現在と未来の世界に先頭を切って貢献していきます。,京都府京都市右京区山ノ内五反田町18,1969,400,,,https://www.kuas.ac.jp/corporation/,,
2024-07-01,学校法人トヨタ学園,公社・官公庁・学校・研究施設,1,■事業内容：大学及び大学院大学の運営を行っています。設置している学校・学部・学科等は下記の通りです。（1）豊田工業大学 工学部 先端工学基礎学科（2）豊田工業大学 大学院 工学研究科（3）TTIC（豊田工業大学シカゴ校）,愛知県名古屋市天白区久方2-12-1,1981,195,,,https://www.toyota-ti.ac.jp/,,
2024-07-01,学校法人追手門学院,公社・官公庁・学校・研究施設,3,＜事業内容＞追手門学院大学、大学院、学校法人追手門学院中・高等学校、学校法人追手門学院手前中・高等学校、学校法人追手門学院小学校、幼保連携型認定こども園 学校法人追手門学院幼稚園を抱える学校法人です。2016年に大学創立50周年、2018年には学院創設130周年を迎え、2019年には大学総持寺キャンパス開設、中・高等学校の全面移転を行いました。,大阪府茨木市西安威2-1-15,1888,1026,,,なし,,
2024-07-01,株式会社雪研スノーイーターズ,公社・官公庁・学校・研究施設,2,～日本で唯一の雪のノウハウと防雪技術に特化した「防雪・防災のスペシャリスト集団」～■事業：創業当時から事業の柱である「雪や気象に関する調査・研究・開発」をはじめ、「防雪対策工設計」「環境調査」まで他社には無い多くの部門を有しています。,北海道札幌市中央区南二条西7-5-6,1988,30,38百万円,,https://www.snow-eaters.com/,,
2024-05-01,学校法人東京聖栄大学,公社・官公庁・学校・研究施設,1,■事業内容：学校法人東京聖栄大学は、東京聖栄大学、東京聖栄大附属わたなべ幼稚園、東京聖栄大学附属調理師専門学校の3校を運営しています。,東京都葛飾区西新小岩1-4-6,1947,95,,,https://www.tsc-05.ac.jp/,,
2024-07-01,有限会社京都幼児教室,公社・官公庁・学校・研究施設,4,■施設・京都幼児教室（乳児・幼児の学習塾） 小学校受験対策クラス・知能開発クラス・体操教室・書き方教室・計算教室・キッズキングダム など 専任講師による授業：ピアノ教室・コンピュータ教室・バレイ教室 ・箏教室・Kirara LEAP（幼児・小学生の英語での学童保育）・京都きらら学園（認可外保育園）・きららインターナショナル幼稚舎（認可外保育園・企業主導型保育事業所）・リトルベアナーサリー(認可園・小規模保育)・児童発達支援事業所なかよし(認可園・児童発達支援事業所)◎物品販売業 教材教具の販売・問題集出版,京都府京都市下京区高倉通仏光寺上西前町375-1,1972,82,,,なし,,
2024-08-01,学校法人帯広学園,公社・官公庁・学校・研究施設,1,■事業内容： ・帯西幼稚園…北海道らしい広大な敷地を有する、西帯広ニュータウンにある幼稚園です。・こりすクラブ…入園前のお子様を対象とした教室です。・第一いずみ幼稚園…東の札内近くにある小さな伝統ある幼稚園です。・帯広調理師専門学校,北海道帯広市大通南12-7,,,,,http://obigaku.com/,,
2024-07-01,公益財団法人愛媛県総合保健協会,公社・官公庁・学校・研究施設,1,■事業内容：同協会は、各種健診を通じて疾病に対する予防意識の改革を図るとともに、各種検査を通じて地域環境の保全に関する関心度を高め、もって県民の健康保持増進及び生活環境の保全改善に寄与することを目的としています。・健康の保持増進に関する知識の普及啓発・県民の健康保持増進のための生活改善への取り組み・健康増進に関する調査研究並びにデータ分析による資料の提供・生活習慣病、がん、結核及びその他の疾病の予防及び早期発見に必要な各種健診検査・生活環境の保全改善に関する検査調査及び知識の普及啓発・その他、本協会の目的を達成するために必要な事業,愛媛県松山市味酒町1-10-5,1998,425,100百万円,,http://www.eghca.or.jp,,
2024-08-01,佐賀県庁,公社・官公庁・学校・研究施設,無,佐賀県の行政業務 2024年6月doda掲載求人より引用,佐賀県佐賀市城内1-1-59,,,,,"Failed to retrieve page, status code: 410",,知事 山口 祥義
2024-07-01,警視庁,公社・官公庁・学校・研究施設,2,◆首都東京を管轄する警察組織◆犯罪の抑止◆事件捜査◆組織犯罪への対応◆交通違反指導取締り◆国会など重要防護施設の警戒警備 他,警視庁本部／東京都千代田区霞が関2-1-1,1874,43566,,,https://www.keishicho.metro.tokyo.lg.jp/saiyo/2024/,,第99代警視総監 緒方 禎己
2024-08-01,新潟県三条市役所,公社・官公庁・学校・研究施設,無,新潟県三条市における各種行政サービスの提供 2024年7月doda掲載求人より引用,新潟県三条市旭町2-3-1,,,,,"Failed to retrieve page, status code: 410",,市長 滝沢 亮
2024-08-01,清里町,公社・官公庁・学校・研究施設,2,■清里町の活性化、運営に携わる施策・総人口3657人（男性1805人・女性1852人）・世帯数1682世帯※2024年7月末時点,北海道斜里郡清里町羽衣町13番地（清里町役場所在地）,1955,91,,,https://www.town.kiyosato.hokkaido.jp/,,清里町長 古谷 一夫
