更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社ＰＥＲＡ　ＰＥＲＡ　ＳＣＨＯＯＬ,その他・各種スクール,求人なし,兵庫県西宮市今津巽町4-28,2012,代表取締役 共田 元信,5 百万円,,,,
2024-08-01,株式会社旅武者,その他・各種スクール,求人なし,東京都新宿区西早稲田1-22-3,2014,代表取締役 遠藤 真実,17 百万円,,,,
2024-08-01,株式会社Ａｅｇｉｓ,学習塾・予備校・専門学校,求人なし,愛知県名古屋市北区楠味鋺3-407,2014,代表取締役 須永 真琴,3 百万円,,,,
2024-08-01,株式会社Ｒｏｏｔｓ　ａｎｄ　Ｓｈｏｏｔｓ,学習塾・予備校・専門学校,求人なし,愛知県春日井市小野町4-6-8,2014,代表取締役 澤 俊幸,3 百万円,,,,
2024-08-01,株式会社ＩＳＫＡＲ,その他・各種スクール,求人なし,大阪府吹田市江坂町5-9-6メイト緑地公園 1Ｆ,2014,代表取締役 亀田 有美,3 百万円,,,,
2024-08-01,株式会社ＡＨＧＳ,その他・各種スクール,求人なし,東京都千代田区九段南1-5-6りそな九段ビル 5Ｆ,2014,代表取締役 荒川 雅樹,10 百万円,,,,
2024-08-01,株式会社アヴェニエール,その他・各種スクール,求人なし,東京都渋谷区渋谷2-24-12,2014,代表取締役 大熊 英樹,5 百万円,,,,
2024-08-01,株式会社エニシング,その他・各種スクール,求人なし,神奈川県相模原市南区相模大野5-27-18篠原ビル 1Ｆ,2014,代表取締役 小林 雄介,5 百万円,,,,
2024-08-01,有限会社山口そうごう自動車学校,その他・各種スクール,求人なし,山口県山口市小郡下郷762,1989,代表取締役 田中 秀明,5 百万円,,,,
2024-08-01,株式会社ｂｌａｎ．ｃｏ,その他・各種スクール,求人なし,福岡県福岡市南区大楠2-19-6,2014,代表取締役 野口 直樹,1 百万円,,,,
2024-08-01,株式会社習育舎,学習塾・予備校・専門学校,求人なし,岡山県岡山市北区下石井2-1-18,2014,代表取締役 平田 信男,1 百万円,,,,
2024-08-01,株式会社キッズホーム欒,その他・各種スクール,求人なし,千葉県市川市妙典2-4-12,2014,代表取締役 國澤 佳奈子,100 百万円,,,,
2024-08-01,株式会社アーバンプラネット,その他・各種スクール,求人なし,大阪府大阪市西区江之子島1-1-9114,2011,代表取締役 中井 真喜子,9 百万円,,,,
2024-08-01,株式会社ＭＡＣ経営,学習塾・予備校・専門学校,求人なし,兵庫県三木市緑が丘町中1-8-42,2014,代表取締役 小藤 貴雅,10 百万円,,,,
2024-08-01,株式会社Ｏｎｅ　Ｃｏｍｐａｎｙ,その他・各種スクール,求人なし,千葉県船橋市本町6-19-9ハミングプラーザ202,2014,代表取締役 関根 大介,48 百万円,,,,
2024-08-01,合同会社進学塾翔和,学習塾・予備校・専門学校,求人なし,愛知県一宮市木曽川町黒田字錦里60-1,2016,代表社員 渡邉 智治,3 百万円,,,,
2024-08-01,株式会社タクティブ,その他・各種スクール,求人なし,東京都港区赤坂1-12-32アーク森ビル 17Ｆ 私書箱510,2014,代表取締役 駒井 亮,30 百万円,,,,
2024-08-01,株式会社Ｃｏｚｙ　Ｖｉｌｌａｇｅ,その他・各種スクール,無,東京都三鷹市下連雀3-4-20パレステージ三鷹101,2014,代表取締役 田中 浩二,9 百万円,,,,
2024-08-01,スマイルリンクス株式会社,その他・各種スクール,求人なし,千葉県市川市相之川4-2-16シャルマン南行徳 102,2014,代表取締役 加藤 知恵子,7 百万円,,,,
2024-08-01,株式会社はーとあんどわいず,学習塾・予備校・専門学校,求人なし,東京都練馬区大泉学園町7-14-22吉岡ビル 2Ｆ,2014,代表取締役 小野田 晶之,2 百万円,,,,
2024-08-01,ＲＩＳＵ　Ｊａｐａｎ株式会社,学習塾・予備校・専門学校,求人なし,東京都文京区本郷3-21-8ケイアイビル 6Ｆ,2014,代表取締役 今木 智隆,46 百万円,,,,
2024-08-01,有限会社アスカ,その他・各種スクール,無,愛知県大府市江端町5-127,1995,代表取締役 加藤 和子,3 百万円,,,,
2024-08-01,株式会社ジェイエス・ロボティクス,その他・各種スクール,求人なし,茨城県つくば市東新井19-7メルシービル 3Ｆ,2006,代表取締役 佐藤 仁,4 百万円,,,,
2024-08-01,和から株式会社,学習塾・予備校・専門学校,無,東京都渋谷区渋谷2-21-1渋谷ヒカリエ8Ｆ,2011,代表取締役 堀口 智之,3 百万円,,,,
2024-08-01,株式会社能達,その他・各種スクール,求人なし,茨城県取手市取手1-8-9能達ビル,2014,代表取締役 劉玉琦,3 百万円,,,,
2024-08-01,株式会社ママスマ,その他・各種スクール,求人なし,埼玉県さいたま市大宮区仲町2-85アクシスコア 3Ｆ,2014,代表取締役 近藤 美奈子,4 百万円,,,,
2024-08-01,株式会社アースリング,その他・各種スクール,求人なし,東京都杉並区今川3-3-4,2014,代表取締役 加藤 稔,33 百万円,,,,
2024-08-01,株式会社Ｙ＆Ｌコーポレーション,学習塾・予備校・専門学校,求人なし,栃木県足利市西新井町3451-13,2014,代表取締役 八下田 健一,3 百万円,,,,
2024-08-01,有限会社ワイケイ・プラニング,その他・各種スクール,求人なし,福島県郡山市富久山町久保田字久保田227,2000,取締役 黒崎 康,8 百万円,,,,
