更新日,名称,業界(小分類),求人有無,事業内容,所在地,従業員数,資本金,設立,平均年齢,企業URL,代表者,上場市場名
2024-08-01,株式会社丸本,食品・飲料メーカー（原料含む）,求人なし,,徳島県海部郡海陽町大井字大谷41,270,20 百万円,1995,,,代表取締役 丸本 敦,
2024-08-01,株式会社八重椿本舖,化粧品メーカー,求人なし,,東京都港区浜松町1-30-5浜松町スクエアスタジオ 15Ｆ 1502,270,10 百万円,1957,,,代表取締役 花岡 秀典,
2024-08-01,トーカイ株式会社,金属・製綱・鉱業・非鉄金属メーカー,無,,岐阜県関市迫間877-1,269,80 百万円,1969,,,代表取締役社長 吉田 豊,
2024-08-01,ハーゲンダッツジャパン株式会社,食品・飲料メーカー（原料含む）,求人なし,,東京都目黒区上目黒2-1-1,269,460 百万円,1982,,,代表取締役 リカルド・フェルナンデス,
2024-08-01,株式会社宇部スチール,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,山口県宇部市大字小串沖の山1978-19,269,"1,000 百万円",1989,,,代表取締役 山根 久雄,
2024-08-01,フタバ食品株式会社,食品・飲料メーカー（原料含む）,無,,栃木県宇都宮市一条4-1-16,268,492 百万円,1948,,,代表取締役 齋藤 貞大,
2024-08-01,片山ナルコ株式会社,石油化学メーカー,求人なし,,大阪府大阪市東淀川区東淡路1-6-7,266,10 百万円,2004,,,代表取締役 下元 紳志,
2024-08-01,日研フード株式会社,食品・飲料メーカー（原料含む）,求人なし,,静岡県袋井市春岡723-1,265,100 百万円,1982,,,代表取締役 越智 康倫,
2024-08-01,株式会社サンクゼール,食品・飲料メーカー（原料含む）,求人なし,,長野県上水内郡飯綱町大字芋川1260,265,"1,134 百万円",1982,38.3,,代表取締役社長 久世 良太,グロース
2024-08-01,エスケイ産業株式会社,石油化学メーカー,求人なし,,東京都港区新橋2-6-1さくら新橋ビル 7Ｆ,265,90 百万円,1962,,,代表取締役 前田 亘,
2024-08-01,旭精工株式会社,その他メーカー,求人なし,,大阪府堺市西区鳳東町6-570-1,264,660 百万円,1938,,,取締役社長 前田 繁幸,
2024-08-01,株式会社トリーカ,ファッション・アパレル・アクセサリーメーカー,求人なし,,大阪府茨木市東太田3-2-10,264,92 百万円,1961,,,代表取締役社長 岩村 真二,
2024-08-01,エーエスペイント株式会社,石油化学メーカー,求人なし,,愛知県豊明市阿野町池下30,263,80 百万円,1957,,,代表取締役 大垣 敦,
2024-08-01,フクシマフーズ株式会社,食品・飲料メーカー（原料含む）,求人なし,,福島県伊達郡桑折町大字成田字二本木10-1,263,222 百万円,1957,,,代表取締役 村上 好治,
2024-08-01,株式会社にんべん,食品・飲料メーカー（原料含む）,無,鰹節および加工食品の製造・販売＜主要製品＞鰹節、フレッシュパック、つゆの素、削り節、各種だし、ふりかけ、惣菜類、ほか 2023年11月doda掲載求人より引用,東京都中央区日本橋室町1-5-5室町ちばぎん三井ビルディング 12Ｆ,262,88 百万円,1951,,,代表取締役社長 髙津 伊兵衛,
2024-08-01,米久かがやき株式会社,食品・飲料メーカー（原料含む）,求人なし,,埼玉県春日部市小渕1263,261,250 百万円,2002,,,代表取締役 山本 宏喜,
2024-08-01,三井・ダウポリケミカル株式会社,石油化学メーカー,求人なし,,東京都中央区八重洲2-2-1東京ミッドタウン八重洲八重洲セントラルタワー 19Ｆ,260,"6,480 百万円",1960,,,代表取締役 加藤 良二,
2024-08-01,三和澱粉工業株式会社,食品・飲料メーカー（原料含む）,求人なし,,奈良県橿原市雲梯町594,260,500 百万円,1947,,,代表取締役 森本 俊一,
2024-08-01,株式会社旭物産,食品・飲料メーカー（原料含む）,求人なし,,茨城県水戸市高田町127,260,20 百万円,1971,,,代表取締役 林 正二,
2024-08-01,株式会社リケンキャステック,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,新潟県柏崎市北斗町4-28,260,200 百万円,1957,,,代表取締役社長 角川 正文,
2024-08-01,ＡＧＣセラミックス株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,,東京都港区芝4-1-23三田ＮＮビル 6Ｆ,260,"3,500 百万円",1991,,,代表取締役 太田 将,
2024-08-01,ミズノテクニクス株式会社,スポーツ・アウトドア用品メーカー,求人なし,,岐阜県養老郡養老町高田307-5,260,100 百万円,2002,,,代表取締役 寺下 正記,
2024-08-01,ずゞや株式会社,その他メーカー,求人なし,,香川県高松市香川町大野1693-1,259,81 百万円,1949,,,代表取締役 上林 孝哲,
2024-08-01,ミツ精機株式会社,その他メーカー,求人なし,,兵庫県淡路市下河合301,259,49 百万円,1962,,,代表取締役 三津 千久磨,
2024-08-01,近江鍛工株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,滋賀県大津市月輪1-4-6,258,99 百万円,1964,,,代表取締役 坂口 康嗣,
2024-08-01,昭和プロダクツ株式会社,製紙・パルプメーカー,求人なし,,大阪府大阪市浪速区湊町2-1-57難波サンケイビル 12Ｆ,258,100 百万円,1964,,,代表取締役 佐藤 潤,
2024-08-01,フレックスジャパン株式会社,繊維メーカー,求人なし,,長野県千曲市大字屋代2451,257,300 百万円,1956,,,代表取締役 矢島 隆生,
2024-08-01,資生堂プロフェッショナル株式会社,食品・飲料メーカー（原料含む）,求人なし,,東京都品川区東品川2-2-8スフィアタワー天王洲 14Ｆ,257,100 百万円,1963,,,代表取締役 浅岡 聖二,
2024-08-01,株式会社イチネンケミカルズ,石油化学メーカー,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■化学工業薬品の開発・製造・営業販売テクノケミカル事業部…産業用ボイラーやディーゼルエンジン等の燃料添加剤開発・販売プロユースケミカル事業部…自動車整備、鈑金工場等への各種ケミカル製品製造・販売マリン・海外営業部…船舶用重油添加剤輸入販売コンシューマーケミカル営業部…カーケミカル用品製造・販売ファインケミカル営業部…メディア向けインクジェットプリンター用フィルムへの受容層液の開発・販売等 2022年3月doda掲載求人より引用,東京都港区芝浦4-2-8住友不動産三田ツインビル東館 8Ｆ,255,100 百万円,1948,,,代表取締役 黒田 雄彦,
2024-08-01,株式会社浅野,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,群馬県伊勢崎市三和町2718-1,255,90 百万円,1953,,,代表取締役 浅野 圭祐,
2024-08-01,山本光学株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,,大阪府東大阪市長堂3-25-8,254,230 百万円,1972,,,代表取締役社長 山本 直之,
2024-08-01,呉羽テック株式会社,その他メーカー,求人なし,,滋賀県栗東市岡255,253,400 百万円,1960,,,代表取締役 田中 宏典,
2024-08-01,興亜工業株式会社,製紙・パルプメーカー,求人なし,,静岡県富士市比奈1286-2,252,"2,342 百万円",1989,,,代表取締役 井上 淳,
2024-08-01,日鉄神鋼建材株式会社,住宅設備・建材メーカー,求人なし,,東京都千代田区外神田4-14-1秋葉原ＵＤＸ 13Ｆ,252,300 百万円,1949,,,代表取締役 古川 武彦,
2024-08-01,三菱王子紙販売株式会社,製紙・パルプメーカー,求人なし,,東京都墨田区両国2-10-14両国シティコア,251,600 百万円,1956,,,代表取締役 髙上 裕二,
2024-08-01,日信化学工業株式会社,機能性化学（有機・高分子）メーカー,求人なし,,福井県越前市北府2-17-33,250,500 百万円,1955,,,代表取締役 小野 猪智郎,
2024-08-01,王子ゴム化成株式会社,石油化学メーカー,求人なし,,山口県防府市勝間2-1-6,250,200 百万円,1957,,,代表取締役 宮森 康行,
2024-08-01,ＪＸ金属コイルセンター株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,神奈川県高座郡寒川町倉見3,250,15 百万円,1988,,,代表取締役 小関 義浩,
2024-08-01,ＤＯＷＡメタニクス株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,静岡県磐田市新貝2630,248,400 百万円,1991,,,代表取締役 田中 貞裕,
2024-08-01,大谷製鉄株式会社,金属・製綱・鉱業・非鉄金属メーカー,5,■事業内容： 【鉄筋コンクリート用棒鋼の製造及び販売】リサイクル・省エネルギーをキーワードに鉄の可能性を追求し、地域社会の発展に貢献する存在意義のある企業を目指しています。鉄筋コンクリート用棒鋼「VCON」の製造及び販売を行っております。当社主力製品「VCON」は北陸３県を中心に様々な鉄筋コンクリート構造物（ビルや病院、学校、高速道路、橋梁など）に使用され、私たちの生活を見えないながら支えています。,富山県射水市奈呉の江8-4,271,480百万円,1969,42.0,,,
2024-08-01,新中村化学工業株式会社,石油化学メーカー,求人なし,,和歌山県和歌山市有本687,248,100 百万円,1970,,,代表取締役 中村 謙介,
2024-08-01,株式会社レゾナック・パッケージング,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,滋賀県彦根市清崎町60,247,"1,700 百万円",1959,,,取締役社長 飯島 聖好,
2024-08-01,菱電化成株式会社,石油化学メーカー,求人なし,,兵庫県三田市三輪2-6-1,247,300 百万円,1970,,,代表取締役社長 小林 純,
2024-08-01,積水成型工業株式会社,石油化学メーカー,求人なし,,大阪府大阪市北区中之島3-3-23中之島ダイビル 25Ｆ,246,450 百万円,1964,,,代表取締役 廣野 裕治,
2024-08-01,本州製罐株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,茨城県結城市若宮7,245,400 百万円,1942,,,代表取締役 鈴木 博司,
2024-08-01,三立製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,,静岡県浜松市中央区中央1-16-11,244,205 百万円,1921,,,代表取締役 清水 康光,
2024-08-01,八戸製錬株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,青森県八戸市大字河原木字浜名谷地76,243,"4,795 百万円",1967,,,代表取締役 武田 哲,
2024-08-01,ブンセン株式会社,食品・飲料メーカー（原料含む）,求人なし,,兵庫県たつの市新宮町新宮387,243,380 百万円,1934,,,代表取締役 田中 智樹,
