更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,ミツワ株式会社,石油化学メーカー,求人なし,愛知県名古屋市中区錦1-13-31ミツワビル 7Ｆ,1973,代表取締役 景山 秀敏,100 百万円,,,,,
2024-08-01,羽立工業株式会社,スポーツ・アウトドア用品メーカー,求人なし,静岡県湖西市新所3,1956,代表取締役 中村 哲也,10 百万円,,,,,
2024-08-01,株式会社オオタヤ・ミート,食品・飲料メーカー（原料含む）,求人なし,静岡県浜松市中央区豊岡町59,1965,代表取締役 藤城 麻美,10 百万円,,,,,
2024-08-01,富士工業株式会社,その他メーカー,求人なし,静岡県浜松市中央区飯田町1068,1979,代表取締役 波多野 眞也,40 百万円,,,,,
2024-08-01,吉田化成株式会社,その他メーカー,求人なし,静岡県浜松市中央区天龍川町1037-2,1952,代表取締役社長 吉田 昌弘,10 百万円,,,,,
2024-08-01,浜松ハム株式会社,食品・飲料メーカー（原料含む）,求人なし,静岡県浜松市中央区東三方町178-2,1973,代表取締役 河村 彰大,46 百万円,,,,,
2024-08-01,日本形染株式会社,繊維メーカー,求人なし,静岡県浜松市中央区船越町26-1,1900,代表取締役 廣田 祐司,90 百万円,,,,,
2024-08-01,株式会社東洋鉄工所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,静岡県浜松市中央区大瀬町460,1953,代表取締役 北村 和彦,10 百万円,,,,,
2024-08-01,株式会社三工商会,金属・製綱・鉱業・非鉄金属メーカー,求人なし,静岡県浜松市中央区下江町442-1,1959,代表取締役 高橋 洋祐,10 百万円,,,,,
2024-08-01,株式会社クラベ,金属・製綱・鉱業・非鉄金属メーカー,求人なし,静岡県浜松市中央区高塚町4830,1939,代表取締役 石山 友一,780 百万円,,,,,
2024-08-01,遠州紙工業株式会社,その他メーカー,求人なし,静岡県浜松市中央区倉松町2600,1947,代表取締役 宮坂 朋純,20 百万円,,,,,
2024-08-01,ニットク株式会社,製紙・パルプメーカー,求人なし,静岡県富士市今泉514-1,1996,代表取締役 井出 純一,50 百万円,,,,,
2024-08-01,三共鋼材株式会社,住宅設備・建材メーカー,求人なし,静岡県駿東郡清水町伏見384,1957,代表取締役 鈴木 力,32 百万円,,,,,
2024-08-01,鈴木産業株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,静岡県富士宮市小泉626-4,1965,代表取締役 鈴木 昭二郎,27 百万円,,,,,
2024-08-01,トシダ工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,静岡県富士宮市万野原新田3647-3,1961,代表取締役 歳田 雄二,81 百万円,,,,,
2024-08-01,丸井製紙株式会社,製紙・パルプメーカー,求人なし,静岡県富士市久沢37,1960,代表取締役 井出 浩之,30 百万円,,,,,
2024-08-01,株式会社長谷川鉄工所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,静岡県富士市松岡307,1960,代表取締役社長 長谷川 智基,15 百万円,,,,,
2024-08-01,五條製紙株式会社,製紙・パルプメーカー,求人なし,静岡県富士市原田451-1,1949,代表取締役 川口 幸一郎,150 百万円,,,,,
2024-08-01,株式会社亰王,製紙・パルプメーカー,求人なし,静岡県富士市比奈615,1962,代表取締役 齊藤 尊宏,48 百万円,,,,,
2024-08-01,飯田工業薬品株式会社,化学・医薬原料（有機・高分子） 商社,1,静岡県富士市依田橋71-1,1963,,60百万円,,27,,■事業内容：無機薬品、製紙工業用途薬品、パルプ・合成繊維、プラスッチック原料、排水処理用各種薬品、接着剤・粘着剤ホットメルト等の提案、販売、その他産業廃棄物の処理,
2024-08-01,株式会社エヌエーシー,製紙・パルプメーカー,求人なし,静岡県駿東郡清水町卸団地281,1961,代表取締役 野口 貴生,20 百万円,,,,,
2024-08-01,岳南光機株式会社,石油化学メーカー,求人なし,静岡県駿東郡長泉町上土狩695,1949,代表取締役 本間 直樹,20 百万円,,,,,
2024-08-01,富士メタルプリンティング株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,静岡県島田市中河985-4,1987,代表取締役 榊原 和彦,20 百万円,,,,,
2024-08-01,株式会社エムケーマエダ家具,繊維メーカー,求人なし,静岡県藤枝市仮宿1052-1,1981,代表取締役 前田 昌春,55 百万円,,,,,
2024-08-01,矢崎化工株式会社,その他メーカー,求人なし,静岡県静岡市駿河区小鹿2-24-1,1953,代表取締役 矢崎 基夫,100 百万円,,,,,
2024-08-01,宮坂ゴム株式会社,石油化学メーカー,求人なし,長野県茅野市豊平5350,1973,代表取締役 宮坂 孝雄,48 百万円,,,,,
2024-08-01,山高味噌株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県茅野市塚原1-7-20,1949,代表取締役 矢﨑 勝仁,14 百万円,,,,,
2024-08-01,化興株式会社,石油化学メーカー,求人なし,長野県諏訪郡下諏訪町社133-4,1952,代表取締役 向井 晶子,40 百万円,,,,,
2024-08-01,丸昌稲垣株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県飯田市上郷黒田2720,1945,代表取締役 稲垣 勝俊,50 百万円,,,,,
2024-08-01,旭松食品株式会社,食品・飲料メーカー（原料含む）,求人なし,大阪府大阪市淀川区田川3-7-3,1976,代表取締役社長 木下 博隆,"1,617 百万円",,,,,スタンダード
2024-08-01,株式会社青木固研究所,その他メーカー,求人なし,長野県埴科郡坂城町大字南条4963-3,1976,代表取締役 越 秀市,22 百万円,,,,,
2024-08-01,株式会社特電,石油化学メーカー,求人なし,長野県上田市長瀬3183,1953,代表取締役 幡場 一弘,48 百万円,,,,,
2024-08-01,壽高原食品株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県千曲市大字戸倉1465-1,1962,代表取締役 水井 寿彦,100 百万円,,,,,
2024-08-01,株式会社竹風堂,食品・飲料メーカー（原料含む）,求人なし,長野県上高井郡小布施町大字小布施973,1951,代表取締役 竹村利器,95 百万円,,,,,
2024-08-01,アスザックフーズ株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県須坂市大字米持293-45,1963,代表取締役 久保 正直,98 百万円,,,,,
2024-08-01,アスザック株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,無,長野県上高井郡高山村大字中山981,1946,代表取締役 久保 勲,63 百万円,,,,,
2024-08-01,株式会社ボニト,食品・飲料メーカー（原料含む）,求人なし,愛知県名古屋市中村区名駅3-18-3,1988,代表取締役 鵜飼 治昭,10 百万円,,,,,
2024-08-01,有限会社伏谷商店,家具・インテリア・生活雑貨メーカー,求人なし,愛知県名古屋市瑞穂区豆田町3-5,1997,代表取締役 伏谷 健一,3 百万円,,,,,
2024-08-01,名古屋日酸株式会社,機能性化学（有機・高分子）メーカー,求人なし,愛知県名古屋市港区本星崎町字南4047-17,1973,代表取締役 江場 友美,10 百万円,,,,,
