更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,有限会社かぶら食品,食品・飲料メーカー（原料含む）,無,群馬県富岡市南蛇井1482,1985,代表取締役 相川 愛一郎,10 百万円,,,,,【こんにゃく製造業（一部デザート）】＜取り扱い商品＞業務用こんにゃく、小売用こんにゃく、こんにゃくお惣菜パック、こんにゃく麺シリーズ、タピオカ風こんにゃく など★群馬県は全国のこんにゃく芋生産量約9割！使用する原料は全て国内産。日々安心・安全のこんにゃくをつくっています。★2018年食品安全マネジメント規格JFS-B 適合証明取得。毎年更新を行っています。 2023年12月doda掲載求人より引用
2024-08-01,株式会社石匠苑,その他メーカー,無,群馬県富岡市下黒岩804,1981,代表取締役 小堀 良夫,10 百万円,,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■事業内容：（1）墓所工事（2）環境・修景工事（3）モニュメントのデザイン設計、施工（4）建築石材工事 2022年6月doda掲載求人より引用
2024-08-01,オリヒロプランデュ株式会社,食品・飲料メーカー（原料含む）,求人なし,群馬県高崎市下大島町613,1993,代表取締役 鶴田 織寛,30 百万円,,,,,
2024-08-01,株式会社コスミックファーム,食品・飲料メーカー（原料含む）,求人なし,長野県中野市大字江部153,1998,代表取締役 湯本 修治,100 百万円,,,,,
2024-08-01,山陰化成工業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,鳥取県境港市昭和町13-24,1980,代表取締役 濱 浩二,62 百万円,,,,,
2024-08-01,株式会社上野水産,食品・飲料メーカー（原料含む）,求人なし,鳥取県境港市昭和町7,1977,代表取締役 上野 慶,27 百万円,,,,,
2024-08-01,ユニカーボン株式会社,その他メーカー,求人なし,北海道札幌市東区東苗穂四条1-12-5,1998,代表取締役 横山 真也,10 百万円,,,,,
2024-08-01,下仁田ミート株式会社,食品・飲料メーカー（原料含む）,求人なし,群馬県安中市鷺宮3624,1964,代表取締役 岡田 一美,95 百万円,,,,,
2024-08-01,友田セーリング株式会社,食品・飲料メーカー（原料含む）,求人なし,鳥取県境港市竹内団地80,1998,代表取締役 友田 博,30 百万円,,,,,
2024-08-01,株式会社ヒキノ,その他メーカー,求人なし,鳥取県境港市外江町3730-10,1990,代表取締役 曳野 庄司,45 百万円,,,,,
2024-08-01,株式会社日新,金属・製綱・鉱業・非鉄金属メーカー,求人なし,鳥取県境港市西工業団地100,1998,代表取締役 又賀 航一,30 百万円,,,,,
2024-08-01,株式会社カスミ,その他メーカー,求人なし,鳥取県岩美郡岩美町大字浦富1765-1,1947,代表取締役 髙垣 洋,30 百万円,,,,,
2024-08-01,株式会社若松屋,食品・飲料メーカー（原料含む）,求人なし,群馬県安中市上間仁田673-1,1988,代表取締役 田村 豪,10 百万円,,,,,
2024-08-01,アサヒ製鏡株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,無,福岡県福岡市博多区吉塚3-28-23,1963,代表取締役 胡子 健太郎,50 百万円,,,,,■鏡、硝子等の加工販売■鏡、硝子等の施工業務■フロント部材等の加工販売■フロント部材等の施工業務■硝子の曲げ加工、販売 2024年5月doda掲載求人より引用
2024-08-01,米持製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県飯山市大字瑞穂4255,1965,代表取締役 米持 昭太郎,10 百万円,,,,,
2024-08-01,有限会社平木電機産業,その他メーカー,求人なし,鳥取県八頭郡八頭町大門12-2,1984,代表取締役 平木 展行,5 百万円,,,,,
2024-08-01,株式会社九鏡,メーカー（素材・化学・食品・化粧品・その他）業界,求人なし,福岡県糟屋郡志免町南里7-5-30,1951,代表取締役社長 藤村 順二,10 百万円,,,,,
2024-08-01,福岡クロス工業株式会社,石油化学メーカー,求人なし,福岡県福岡市博多区比恵町9-24福岡クロスビル,1963,代表取締役 天岡 健,94 百万円,,,,,
2024-08-01,株式会社田中屋酒造店,食品・飲料メーカー（原料含む）,求人なし,長野県飯山市大字飯山2227,1994,代表取締役 田中 隆太,20 百万円,,,,,
2024-08-01,大西化成株式会社,石油化学メーカー,求人なし,福岡県福岡市博多区上牟田1-17-24,1966,代表取締役 大西 一平,97 百万円,,,,,
2024-08-01,株式会社カネ又田中商店,食品・飲料メーカー（原料含む）,求人なし,福岡県福岡市博多区築港本町5-6,1969,代表取締役 田中 威光,30 百万円,,,,,
