更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-06-01,株式会社ティ・エス・シー,住宅設備・建材メーカー,1,■事業内容： 当社は、県産材にこだわり、プレカット階段・カウンター・枠材を迅速に加工、確実な納期でご対応します。「自由なイメージを素早く、上質に実現する。」をモットーに集成材で作る特注オーダー・建材をご提供しており、お客様からの材種をもっと選びたい。納期が短くすぐに欲しい。など、あらゆるニーズにご対応しております。,千葉県木更津市潮浜2-6-4,1991,39.3,93,60百万円,http://www.syusei-tsc.com/company.html,,
2024-08-01,株式会社ヤマイチ,食品・飲料メーカー（原料含む）,12,■事業内容：水産加工品の製造及び販売,茨城県ひたちなか市南神敷台10-10,1987,38.0,105,,https://k-yamaichi.jp/,,
2024-06-01,株式会社エヌビーエフ,食品・飲料メーカー（原料含む）,1,【カニ加工で全国シェアトップ級／黒字継続の安定企業】■冷凍食品製造■海産物の加工【加工品目】□寿司種□エビフライ・伸ばしエビ・パックエビ・ムキエビ□天種（天ぷら用セット）□冷凍野菜□カニシュリンク・切ガニパック□鮭フィレ・鯖フィレ□切り身魚,茨城県ひたちなか市枝川2066-1,1990,,15,1000万円,http://www.nbf1990.jp/,,代表取締役 橋本 智
2024-08-01,株式会社太平洋コンサルタント,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,6,太平洋セメント(株)の100％出資子会社です。親会社からの試験・分析依頼を多く受注しており安定した売上があります。近年は親会社以外からの依頼も多く売上も伸びています。（1）コンクリート調査、診断（2）コンクリート試験、材料試験（3）セメント、コンクリートコンサルティング（4）材料分析（5）機器分析（6）環境測定、環境分析（7）無機粉体の受託加工（8）放射性廃棄物処理に関する研究、製品,千葉県佐倉市大作2-4-2,1985,,353,30百万円,http://www.taiheiyo-c.co.jp/,,
2024-07-01,株式会社イエムラ,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容：金属製品創造業：設計・製作・施工（ステンレス製サッシ・ドア、ステンレス製カーテンウォール、ステンレス製建築金物、インフラ関連・金融機関製作金物、フルオーダーメイド金属製品製造）をワンストップで行っており、一貫してステンレス鋼の加工に特化し、特注加工品の製造を中心としています。技術面でも業界から高い評価をいただいており、東北6県および首都圏を納品エリアとしております。,宮城県名取市飯野坂字南沖67-1,1994,44.0,23,30百万円,https://www.sus-iemura.co.jp/,,
2024-08-01,三和ファインパーツ株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■事業内容：当社は金型設計・製作から、量産・プレス加工および組み立てまで 三和ファインパーツのノウハウと最新の設備で一貫した生産体制が実現しています,茨城県ひたちなか市大字武田999,1958,,41,30百万円,https://sanwa-mfgt.co.jp/,,
2024-07-01,有限会社成澤鉄工所,金属・製綱・鉱業・非鉄金属メーカー,1,■企業概要：当社では、鉄骨製作、鉄骨加工等を行っています。図面をいただいてから施工図をおこし、製作、完成、場合により据付まで行います。鉄骨製作工場のMグレードの認定工場であり、多くの鉄骨建造物に対応できます。,山形県鶴岡市柳久瀬字大坪16,1989,,36,4百万円,https://narisawatekko.com/,,
2024-07-01,株式会社須田,住宅設備・建材メーカー,2,■会社概要・1973年創業、お客様の大切な荷物を効率よく、安全に運ぶためのパレット及び荷役関連製品の設計・製造を行う企業です。・より迅速で確実に、そして経済的なルートが要求されている貨物運送業で活躍されるお客様に、さまざまなニーズに応じた製品そしてより経済的な製品を提供するため常に創意工夫を行い、鋭意努力致しております。■事業内容・木製、鉄製パレット及び荷役関連製品の設計、製造販売,栃木県河内郡上三川町大字下蒲生9-2,1989,,38,10百万円,なし,,
2024-08-01,YKKスナップファスナー株式会社,繊維メーカー,3,■事業内容：スナップ、ボタン、リベット等の服飾雑貨の製造販売を行なっています。また、同取り付け機械の製造・販売・リース～メンテナンスまでのトータルサービスも行なっています。,東京都台東区台東1-31-7PMO秋葉原北2F,1999,46.0,250,450百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,株式会社マルサン,住宅設備・建材メーカー,1,■事業内容：・在来木造軸組み工法のプレカット・金物工法のプレカット・在来パネル材、2×4パネル材・羽柄プレカット材の製造販売、造作材、建築金物・建材等の小売販売・現場吹付断熱材の施工,福島県二本松市小浜字鳥居町27-3,1975,39.5,88,35百万円,"Failed to retrieve page, status code: 410",,
