更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-06-01,中川装身具工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,宝飾品・装身具の中心部材とも言える金属製チェーンとその周辺部品を中心に、身の周りを彩る各種の身辺細貨類の企画から製造、卸売までを一貫して行っています。■装身具金属パーツ事業■完成装身具事業■相手先ブランド名製造（OEM）事業■キャラクター関連商品事業■貿易事業■ECサイト事業,東京都台東区浅草橋1-22-16 ヒューリック浅草橋ビル6階,1949,332,"3,000万円",42.5,https://www.nakagawa-tokyo.co.jp,代表取締役社長 中川 雄幸,
2024-07-01,株式会社ヤマリア,スポーツ・アウトドア用品メーカー,1,■事業内容(1)釣具漁具製造販売：エギ、ルアー、サビキ・仕掛け、イカ針、イカセット、ベイト、 タコ・タチ用品、テンビン、クリップ等その他釣具関連用品の製造販売。(2)釣り文化の創造：新しい釣りを提案し、新しい喜びを提供する釣り文化を広げるため、フィッシングアドバイザー活動を行っております。また大学や研究機関と連携し、生態研究に基づく製品開発を行っております。(3)コミュニティ運営：釣りの楽しさや感動を分かち合い、幸せな人生を送ることを目的としたコミュニティーサイトを運営しています。,神奈川県横須賀市神明町1-41,1959,170,98百万円,37.0,http://www.yamaria.co.jp/,,
2024-07-01,日本マタイ株式会社,総合化学メーカー,2,■企業概要：日本マタイ株式会社は、主に「重包装製品」を製造販売するレンゴーグループ企業です。同社は設立以来高い技術力を強みとしており、近年では「技術立社」を標榜して高度な研究開発や、コストパフォーマンス・品質パフォーマンスの一層の向上にむけた研究・製造・営業の一体的な取り組みを進めています。,東京都台東区元浅草2-6-7,1947,751,"7,292百万円",,http://www.matai.co.jp/,,
2024-08-01,冨士色素株式会社,機能性化学（有機・高分子）メーカー,1,■ビジョン同社は1938年の創業以来、有機赤色顔料の専門メーカーとして発展してまいりました。加えて近年では既存の枠にとらわれることなく、常に時代のニーズを先取りした新しい分野の開拓を積極的に実施しています。今後は光・エレクトロニクス分野、ディスプレイ分野へも超微粒子分散技術を拡大し、これまで分散と無縁であった光吸収などの分野へも同社技術領域を広げていきたいと考えられています。,兵庫県川西市小花2-23-2,1938,100,30百万円,45.0,"Failed to retrieve page, status code: 410",,
2024-07-01,第一紙器工業株式会社,製紙・パルプメーカー,1,■段ボール・紙器製品等・包装資材の製造・販売,大阪府大阪市平野区加美正覚寺4-7-46,1955,,,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010566654/: 'NoneType' object has no attribute 'get',代表取締役 森田 誠,
2024-08-01,トーホー工業株式会社,機能性化学（有機・高分子）メーカー,7,■事業内容：発泡スチロール成型品製造及び販売、包装関連資材販売,大阪府大阪市中央区南本町2-2-9辰野南本町ビル9F,1957,310,98百万円,,https://toho-eps.com/,,
2024-07-01,ヤマザキ産業株式会社,その他メーカー,1,◆各種高圧ガスの製造・販売（高圧酸素ガス、医療用酸素ガス、炭酸ガス、食品用炭酸ガス）◆溶接材料、産業機械、工具の販売◆自動化、省力化設備、FAシステムの設計製作◆大手ハウスメーカー・医療機械メーカー、大型スーパーなど安定したお取引があります,【本社】大阪市平野区加美東2-3-40 【北梅田営業所】大阪市北区豊崎1-11-1【東京営業所】埼玉県川越市南台3-1-17-203,1964,35,,,http://www.yamazaki-web.co.jp/,代表取締役社長 乾 浩二,
2024-08-01,アイデス株式会社,ベビー用品メーカー,2,幼児・子供・大人用自転車、幼児用三輪車、子供乗物、スポーツ遊具及び幼児用玩具の企画・開発・製造・卸【ミッション】私たちは毎日の運動遊びを提供し、幼少期の成長と発達に貢献します。【コーポレートスローガン】幼少期の運動習慣は人生の糧です。,東京都台東区駒形1-7-10 アイデスビル,1952,42,"2,185万円",,https://www.idesnet.co.jp/,代表取締役社長 中井 範光,
2024-07-01,株式会社山本金属製作所,金属・製綱・鉱業・非鉄金属メーカー,5,■事業内容：山本金属は、プロセス価値を重視し、新たなものづくりの価値創出に挑戦している企業です。その未来を創るものづくりは、創立以来追求してきた「精密加工技術」と「計測評価技術」の2つをコア技術として、現在4つの事業を展開しています。,大阪府大阪市平野区背戸口2-4-7,1989,242,215百万円,,http://www.yama-kin.co.jp/,,
2024-06-01,株式会社スマック,ペット関連メーカー,1,■ペットフード製造・販売【ペットの笑顔のそばに】を企業理念に掲げ、業界のリーディングカンパニーとして右肩上がりの成長を継続。≪事業所≫東京、名古屋、大阪、福岡、仙台、広島,愛知県東海市名和町天王前20番地,1964,140,6000万円,,https://www.smack.co.jp/,取締役社長 犬養 丈裕,
2024-08-01,株式会社坂角総本舖,食品・飲料メーカー（原料含む）,9,■事業概要：海老を中心とした海の幸を主原料とするお菓子の製造と販売「ゆかり」「八樂」「さくさく日記」などのえびせんべいの製造・販売。■事業詳細：明治時代創業の同社は、始祖である坂角次郎の東海市横須賀の地での海老せんべい作りから始まった老舗企業です。その後製法に工夫を重ねて1966年に高級海老せんべいに「ゆかり」と命名し、地元愛知県を始めに、首都圏・近畿圏にも販売を拡大し、全国主要百貨店に販売拠点を拡大。飛躍的発展を遂げています。,愛知県東海市横須賀町三ノ割61,1953,569,80百万円,45.0,https://www.bankaku.co.jp/shop/c/c10/,,
2024-08-01,中島特殊鋼株式会社,金属・製綱・鉱業・非鉄金属メーカー,1,■特殊鋼および非鉄金属の製造・加工・販売【認定取得】・ISO9001・エコアクション21,愛知県大府市北崎町遠山211番地（本社）,1964,117,1000万円,,http://www.nakatoku-steel.com/,代表取締役 中島 伸夫,
