更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社ホーコー,道路貨物運送業（宅配便・トラック運送など）,無,愛知県小牧市中央6-339,1990,代表取締役 西影 篤範,25 百万円,,,,,
2024-08-01,中日本マルエス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市鶴町7-8,1999,代表取締役 平尾 恭之,50 百万円,,,,,
2024-08-01,西日本マルエス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市鶴町7-8,1999,代表取締役 福本 詳造,30 百万円,,,,,
2024-08-01,湘南モノレール株式会社,鉄道業,求人なし,神奈川県鎌倉市常盤18,1966,代表取締役 小川 貴司,100 百万円,,,,,
2024-08-01,鎌倉江之島ハイヤー株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,神奈川県鎌倉市常盤302,1940,代表取締役 大崎 厚郎,10 百万円,,,,,
2024-08-01,株式会社大門,道路貨物運送業（宅配便・トラック運送など）,求人なし,京都府京都市西京区川島玉頭町64,1965,代表取締役 中村 祐大,20 百万円,,,,,
2024-08-01,国際両備フェリー株式会社,海運業,求人なし,香川県小豆郡小豆島町池田1-18,1963,代表取締役 小嶋 光信,17 百万円,,,,,
2024-08-01,宗田造船株式会社,海運業,求人なし,兵庫県明石市港町16-6,1948,代表取締役 宗田 栄次,10 百万円,,,,,
2024-08-01,サンコー運送株式会社,道路貨物運送業（宅配便・トラック運送など）,無,大阪府大阪市城東区永田2-5-5,1974,代表取締役 木村 智子,10 百万円,,,,,
2024-08-01,碓永自動車株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県明石市魚住町清水2184-2,1959,代表取締役 碓永 良三,30 百万円,,,,,
2024-08-01,グリンハイヤー株式会社,道路旅客運送業,無,神奈川県鎌倉市常盤302,1951,代表取締役 大崎 厚郎,17 百万円,,,,,
2024-08-01,トラックス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県豊川市小坂井町野地47,1948,代表取締役 石黒 勝則,30 百万円,,,,,
2024-08-01,アイスコ株式会社,倉庫業・梱包業,求人なし,千葉県八千代市上高野1737-8,1980,代表取締役 川浦 総一郎,36 百万円,,,,,
2024-08-01,株式会社愛設運送,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県豊川市下長山町高畑44-1,1942,代表取締役 中島 康彰,10 百万円,,,,,
2024-08-01,タカラ梱包輸送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県豊川市穂ノ原3-2-22,1966,代表取締役 池田 哲朗,10 百万円,,,,,
2024-08-01,株式会社ＮＡＭ,倉庫業・梱包業,求人なし,兵庫県明石市二見町東二見234-3Ｂ201,1965,代表取締役 中小路 公男,10 百万円,,,,,
2024-08-01,株式会社トヨコン,倉庫業・梱包業,求人なし,愛知県豊川市川花町2-62,1964,代表取締役 明石 耕作,100 百万円,,,,,
2024-08-01,共立マイラ株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,東京都文京区小石川4-15-13,1971,代表取締役 佐藤 英雄,20 百万円,,,,,
2024-08-01,栗山運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県明石市二見町南二見9-2,1962,代表取締役 柴田 浩司,10 百万円,,,,,
2024-08-01,明正キャブ株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県神戸市西区玉津町出合16,1993,代表取締役 松岡 睦生,50 百万円,,,,,
2024-08-01,有限会社デリバリーサービスヤードワン,道路貨物運送業（宅配便・トラック運送など）,求人なし,東京都文京区後楽2-14-8,1990,代表取締役 椎田 裕,3 百万円,,,,,
2024-08-01,ジヤパンシネモービル株式会社,道路旅客運送業,求人なし,東京都中野区中野6-32-14Ｂ2ビル 1Ｆ,1982,代表取締役 西山 智彦,20 百万円,,,,,
2024-08-01,東洋梱包運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,神奈川県藤沢市村岡東2-11-5,1972,代表取締役 嶋津 栄喜,10 百万円,,,,,
2024-08-01,株式会社讃急運輸,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県高松市香南町横井912-3,1975,代表取締役 多田 和義,16 百万円,,,,,
2024-08-01,寶聖運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県豊川市金屋本町2-4,1989,代表取締役 鈴木 登美子,10 百万円,,,,,
2024-08-01,山下運送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市阿倍野区天王寺町北3-13-22,1979,代表取締役 山下 裕久,10 百万円,,,,,
2024-08-01,リソー・ロジック株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県綾歌郡綾川町陶1059-2,1984,代表取締役 横川 敏夫,20 百万円,,,,,
2024-08-01,東海ワークス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県豊川市白鳥町穴田57-1,1995,代表取締役 廣田 篤,25 百万円,,,,,
2024-08-01,滝宮運送有限会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県綾歌郡綾川町滝宮215-1,1955,代表取締役 山本 貢一,18 百万円,,,,,
2024-08-01,中島運送株式会社,道路貨物運送業（宅配便・トラック運送など）,無,大阪府東大阪市加納4-13-4,1969,代表取締役 中島 秀記,28 百万円,,,,総合物流サービス事業 2023年10月doda掲載求人より引用,
2024-08-01,株式会社サークルライナーズ,倉庫業・梱包業,求人なし,香川県綾歌郡綾川町羽床下2130,1954,代表取締役 安井 嘉昭,50 百万円,,,,,
2024-08-01,株式会社恵和テック,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市阿倍野区天王寺町北3-14-19,1963,代表取締役 田中 秀和,20 百万円,,,,,
2024-08-01,大豊運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,無,愛知県津島市大木町字新田5-1,1972,代表取締役 加藤 一宏,10 百万円,,,,,
2024-08-01,伊藤運送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県津島市古川町2-9-1,1968,代表取締役 泊 正浩,10 百万円,,,,,
2024-08-01,日の丸タクシ株式会社,道路旅客運送業,求人なし,愛知県津島市藤里町1-9-2日の丸会館 1Ｆ,1952,代表取締役 近藤 英二,17 百万円,,,,,
2024-08-01,幸洋汽船株式会社,海運業,求人なし,愛媛県今治市別宮町8-2-35,1965,代表取締役 藤澤 敏則,18 百万円,,,,,
2024-08-01,全日本運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛媛県今治市古国分2-3-17,1972,代表取締役 藤本貴央,70 百万円,,,,,
2024-08-01,ヤマフク電電株式会社,倉庫業・梱包業,無,大阪府大阪市阿倍野区昭和町5-5-305Ｆ,1987,代表取締役 中納圭司,10 百万円,,,,,
2024-08-01,株式会社朝日通商,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県高松市国分寺町新名1566-1,1970,代表取締役 後藤 耕司,30 百万円,,,,,
2024-08-01,日祥梱包倉庫株式会社,倉庫業・梱包業,求人なし,神奈川県藤沢市遠藤4651,1971,代表取締役 有坂 和夫,10 百万円,,,,,
2024-08-01,富士運送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県高松市国分寺町福家乙1-1,1954,代表取締役 山下 裕司,20 百万円,,,,,
2024-08-01,丸喜運輸機工株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県高松市国分寺町福家甲1884-1,1974,代表取締役 福上 和夫,10 百万円,,,,,
2024-08-01,株式会社四国物流サービス,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県丸亀市綾歌町岡田上2811-1,1972,代表取締役 沼田 大寿,95 百万円,,,,,
2024-08-01,フライスター物流株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,神奈川県藤沢市善行7-5-2東大門ビル 201,1989,代表取締役 伊藤 一貴,28 百万円,,,,,
2024-08-01,相栄産業株式会社,倉庫業・梱包業,求人なし,神奈川県厚木市妻田西1-22-7小川ビル1Ｆ,1971,代表取締役 金子 仁,10 百万円,,,,,
2024-08-01,栗木運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,無,愛知県津島市神守町字四丁16,1984,代表取締役 栗木 和夫,10 百万円,,,,,
2024-08-01,阪神物流サービス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県西宮市山口町阪神流通センター3-35,1971,代表取締役 藤田 弘一,12 百万円,,,,,
2024-08-01,倉本運送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県西宮市西宮浜2-8,1968,代表取締役 倉本 昇,10 百万円,,,,,
2024-08-01,株式会社石塚運送,道路貨物運送業（宅配便・トラック運送など）,求人なし,神奈川県藤沢市打戻1913,1979,代表取締役 石塚 孝一,12 百万円,,,,,
2024-08-01,井阪運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県西宮市津門大箇町4-22,1966,代表取締役 長井 優兒,98 百万円,,,,,
2024-08-01,北野運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県碧南市田尻町3-35,1968,代表取締役 北野 以千代,10 百万円,,,,,
2024-08-01,大陽運送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県西宮市山口町阪神流通センター3-1-4,1960,代表取締役 池尻 博史,36 百万円,,,,,
2024-08-01,津門株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県神戸市中央区港島南町3-6-6,1961,代表取締役社長 藤本 豊久,22 百万円,,,,,
2024-08-01,春山海運株式会社,海運業,求人なし,愛媛県今治市北宝来町2-2-1今治北宝来町ビル 4Ｆ,1972,代表取締役 今岡 貴廣,13 百万円,,,,,
2024-08-01,丸共通運株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県碧南市浜田町4-34,1951,代表取締役 鈴木 朝生,70 百万円,,,,,
2024-08-01,今津陸運株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県西宮市西宮浜2-10-3,1967,代表取締役 浅尾 文昭,45 百万円,,,,,
