更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,上場市場名
2024-08-01,旭扇海運株式会社,海運業,1,■事業内容： 通関業・貨物自動車運送事業（海上コンテナー輸送）・貨物運送取扱事業・内航海運業（船舶貸渡業）◇輸出入通関：長年の通関実務で培ったノウハウを駆使し、適正かつ迅速な貿易のお手伝いをします。国際物流の一翼を担う通関業務等におきましても、ますますコンプライアンスが重視される中、当社はAEO認定通関業者の責務を果たし、法令順守にしっかりと取り組んでいます。また、法令改正に迅速に対応し、EPA等の国際協定に基づいた通関手続きにも適正な処理を行うよう努めています。,大阪府大阪市港区築港4-1-1辰巳商会ビル2F,1958,,56,45百万円,48.0,http://www.kyokusen.co.jp/,
2024-08-01,丸一海運株式会社,海運業,4,■概要：1751年（宝暦元年）創業の老舗物流企業です。特に化学工業製品・薬品の輸送分野では豊富な実績をもち、大手物流企業にひけを取らない実績を誇ります。■事業内容：・一般港湾運送業、利用運送業、運送取次業、通関業、航空貨物取扱業、毒劇物一般販売業■取扱品目：一般工業薬品、石油化学品、合成樹脂、花火（火薬類）、高圧ガス、食品、医薬品、機械類、雑貨等,大阪府大阪市大正区三軒家西3-12-4,1951,,120,99百万円,39.0,http://www.mkc-net.co.jp/index.html,
2024-07-01,株式会社協同クリエイト,倉庫業・梱包業,1,■沿岸荷役作業■輸出梱包作業■運送手配（海上輸送）業務■輸入穀物類の袋詰め、詰め替え及び荷直し■輸入青果物の品質検査・選別・改装作業■植物検疫検査・荷主検査の立会補助作業■コンテナ内、本船内のラッシング・チョッキング作業■倉庫内作業全般■食料品の検品仕分・打検及びラベル・ステッカー貼り■店舗雑貨のピッキング・包装作業■不動産賃貸業務,本社／兵庫県神戸市中央区北長狭通5-6-2,1931,代表取締役社長 谷川 龍二,,5000万円,,http://www.kyodo-create.co.jp/,
2024-07-01,井本商運株式会社,海運業,3,■企業概要：当社は昭和48年創業以来内航コンテナフィーダー輸送（日本の主要港と国内各地を結ぶ外貿コンテナの国内2次輸送）の先駆者として外貿コンテナを国内各地に輸送しております。現在は、阪神、京阪両港をハブとして国内各地へ航路を整備しております。内航コンテナ輸送の先駆けた実績と経験を活かし、外貿コンテナ貨物輸送に加えてコンテナを使用した国内貨物輸送とリサイクル輸送にも積極的に取り組み社会に貢献して行きたいと考えております。■事業内容：（1）内航海運業（2）貨物運送取扱事業事（3）産業廃棄物収集運搬業,兵庫県神戸市中央区浪花町59神戸朝日ビルディング19F,1973,,146,95百万円,38.0,http://www.imotoline.co.jp/,
2024-08-01,ケイヒン港運株式会社,海運業,1,■事業内容： ・海貨・通関業務・車輌輸出業務・複合一貫輸送業務・港湾荷役業務■特徴（TOPICS）： 当社は昭和35年の設立以来、ケイヒングループの一員として、神戸港と大阪港において一般港湾運送事業、通関業などを展開し、「確実・便利・スムーズ」をモットーに事業展開を行っております。,兵庫県神戸市中央区小野浜町11-47,1960,,87,52百万円,,https://www.keihin-harbortransport.co.jp/index.html,
2024-08-01,知多産業運輸株式会社,倉庫業・梱包業,8,■事業内容： 当社は、鉄鋼製品を専門に扱う運送事業と、危険物を保管特化した倉庫事業をメインに事業展開しております。,愛知県豊橋市明海町2-58,1970,,120,45百万円,40.0,https://chita-trans.co.jp/,
2024-07-01,株式会社京瀧,道路貨物運送業（宅配便・トラック運送など）,2,■事業内容： 港湾荷役業、貨物運送業、日鉄ステンレス株式会社構内諸作業、ステンレス鋼の加工・販売、クレーン作業、重量物運送業、産業廃棄物収集運搬業、フォークリフト特定自主検査、小型船舶の販売・修理・保管、レストラン業、ブライダル業,山口県周南市川手2-10-18,1948,,199,60百万円,,http://kyotaki.co.jp/,
2024-08-01,西浦海運株式会社,海運業,3,■事業内容： 港湾運送事業免許状（三河港 港湾荷役第 1003号）,愛知県豊橋市神野ふ頭町3-7,1968,,26,15百万円,,https://www.nishiura-kaiun.co.jp/index.html,
2024-07-01,ひまわり交通株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■業務概要：一般乗用旅客自動車運送事業,神奈川県川崎市幸区神明町1-35ヒラソルムラキビル,1962,,162,12百万円,,https://www.himawari-koutsuu.com/,
2024-06-01,ふそう陸送株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容：・貨物自動車運送業及び貨物自動車運送取扱業・倉庫業、商品車輌の回送・自動車販売業、自動車類貸渡業・労働者派遣業・産業廃棄物収集運搬業、引取業,神奈川県川崎市幸区鹿島田3-6-44,1955,,317,18百万円,,http://www.furiku.co.jp/,
