更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,社会福祉法人鳴瀬会,福祉・介護関連サービス,求人なし,岩手県気仙郡住田町世田米字川向8-2,1984,理事長 櫻井 末男,"1,966 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,新潟県厚生農業協同組合連合会,その他医療関連,求人なし,新潟県新潟市中央区東中通1番町86-109信連第二ビル,1952,代表理事理事長 田中 納次,"5,533 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人守屋福祉会,福祉・介護関連サービス,無,佐賀県神埼市脊振町鹿路2290-6,2000,理事長 守屋 昌宣,"1,571 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人凌友会,福祉・介護関連サービス,求人なし,佐賀県佐賀市久保泉町大字川久保1986-1,1980,理事長 凌 文子,"1,093 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人ひまわり会,福祉・介護関連サービス,求人なし,岩手県奥州市水沢上姉体2-1-1,1998,理事長 小澤 彰,546 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人新潟みずほ福祉会,福祉・介護関連サービス,求人なし,新潟県新潟市西区みずき野1-6-11,1975,理事長 和田 晋弥,"2,897 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人松海社会福祉事業協会,福祉・介護関連サービス,求人なし,新潟県新潟市西区寺尾台3-19-13,1978,理事長 福田 悟,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人ゆずり葉会,福祉・介護関連サービス,求人なし,新潟県新潟市西区西小針台2-9-26,1978,理事長 平澤 正人,232 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人ふじの実会,福祉・介護関連サービス,求人なし,岩手県一関市藤沢町新沼字西風46-8,1984,理事長 畠山 博,"1,484 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人亀田郷芦沼会,福祉・介護関連サービス,求人なし,新潟県新潟市東区はなみずき2-3-7,1980,理事長 鈴木 克夫,"2,199 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人仁成福祉協会,福祉・介護関連サービス,求人なし,新潟県新潟市江南区曽川甲1326,1990,理事長 小林 脩,"13,055 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人春陽福祉協会,福祉・介護関連サービス,求人なし,新潟県新潟市北区太夫浜1747,1992,理事長 佐藤 克榮,"1,510 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人あたご共生福祉会,福祉・介護関連サービス,無,新潟県新潟市西区寺尾東1-18-26,1999,理事長 石崎 昂一,531 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人いなほの郷福祉会,福祉・介護関連サービス,求人なし,新潟県新潟市江南区大渕715-1,2003,理事長 三浦 亮,945 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
