更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-07-01,株式会社JAPANNEXT,通信販売・ネット販売,3,■事業内容について：液晶モニター、エレクトロニクス製品の販売■同社の特徴について：臨場感溢れる映像に迫力が増す曲面ディスプレイ、コストパフォーマンスに優れたハイクオリティなゲーミングモニター、ユーザー側の立場で開発・設計されたディスプレイに特化した企業です。いい物を最高のコストパフォーマンスで提供することをビジネスモデルとし、今後も新しいモノづくりに挑戦していきます。■事業拠点について：千葉県に本社・倉庫を、東京・秋葉原に事業所を構えております。,千葉県いすみ市行川506-5,2006,4,99百万円,,http://japannext.net/,,
2024-07-01,株式会社エクスショップ,通信販売・ネット販売,1,■事業内容・インターネットを利用した大型住宅設備機器等の販売 ・インターネットを介したエクステリア外構工事等の全国展開,兵庫県神戸市東灘区向洋町中6-9神戸ファッションマート10F,2000,119,30百万円,,なし,,
2024-06-01,株式会社Ｌｅ　Ａｎｎ,通信販売・ネット販売,2,■LeAnn事業部自動車用品の取付（電装）出張取付：自動車メーカーのセンターにて新車へディーラーオプションの取付を行っております。また出張による中古車やユーザー車への取付も行っております。■LeAnnselect事業部インターネット販売（アパレル）：販売ホームページ、ショッピングサイトにて販売を行っております。■Precision事業部アミューズメントサービス：パチンコ店の新台入れ替え、セキュリティー設置、遊戯設備全般。,兵庫県神戸市長田区片山町1-23-4,2015,5,5百万円,,なし,,
2024-08-01,北野エース／株式会社エース,食品・GMS・ディスカウントストア,6,■エリア戦略にもとづいたスーパー＆カテゴリストアの運営・北野エース・北野エース フーズブティック・KITANO ACE・KITANO ACE ONE・foods stage KITANO・グロッサーズ・FOOD LIBRARY,【東京本部】東京都江東区富岡2-1-9 HF門前仲町ビルディング3F・５F〒661-0953【関西本部】兵庫県尼崎市東園田町5-123-1 西岡ビル2F,1962,1837,5000万円,,https://www.ace-group.co.jp/,代表取締役社長 油山 哲也,
2024-08-01,株式会社エス・マーケティング・デザイン・ジャパン,経営・戦略コンサルティング,無,■企業の販売促進における営業・販売の支援、小売店舗の運営及びコンサルティング■店舗経営におけるコンサルティング及び販売スタッフの販売教育■セールスプロモーションイベントの企画・運営■音楽・スポーツイベントの企画・運営■タレント（アーティスト・スポーツ選手）の育成・マネジメント、スクール運営等 2024年5月doda掲載求人より引用,東京都渋谷区神宮前6-25-8神宮前コーポラス 14Ｆ 1408,2011,,30 百万円,,"Failed to retrieve page, status code: 410",代表取締役 名取 俊一,
2024-08-01,株式会社アール・ピー・ジェー,専門店（アパレル・アクセサリー）,無,フランスの老舗ブランド「Paraboot（パラブーツ）」シューズの輸入販売＜店舗一覧＞パラブーツ青山店パラブーツ銀座店パラブーツ丸の内店パラブーツ横浜高島屋店パラブーツ玉川店パラブーツ大阪店パラブーツ阪急メンズ大阪店パラブーツジェイアール名古屋タカシマヤ店パラブーツ名古屋栄店パラブーツ札幌店 2024年5月doda掲載求人より引用,東京都港区南青山6-12-3,2001,,50 百万円,,"Failed to retrieve page, status code: 410",代表取締役 横瀬 秀明,
2024-06-01,株式会社ECOイノベーション,専門店・その他小売,1,古銭、切手、宝石、アクセサリー、衣料品などの不用品買い取りやリサイクル古物商許可番号 第541161506700号（主たる営業所）,愛知県名古屋市中区丸の内3-21-25 清風ビル4階,2015,167,,,http://eco-innovation.co.jp/,代表取締役 大蔵 瞭介,
2024-08-01,中嶋自動車工業株式会社,自動車ディーラー,3,■事業内容：1. 中古自動車の販売及び買取並びに車検整備等2. 損害保険取扱代理店【三井住友海上火災保険(株)】 ディーラー特級代理店（グランドマスターズ取得）【あいおいニッセイ同和損害保険(株)】HGA（High Grade Agent）認定,埼玉県さいたま市中央区本町西5-5-7,1973,78,10百万円,,http://www.nac-town.co.jp/corporate/index.html,,
2024-06-01,Ｗｏｈｌ株式会社（ウォール株式会社）,自動車ディーラー,2,■中古車・新車・中古自動車部品の買取販売 「ウォール中古車買取センター」「BEAVERS」（ビーバーズ）■損害保険業務（自動車保険代理店：あいおいニッセイ同和損保）,東京都西東京市東町2-16-25-402,2015,,1000万円,,https://wohl.co.jp/,代表取締役 鈴木 康之,
2024-06-01,株式会社NIIZAWA,自動車ディーラー,4,■事業内容：自動車ボディー修理、自動車車検整備、自動車販売、カー用品販売、取付交換、自動車保険、レッカー■事業の特徴：・「軽マーケット」・アフターメンテナンス・通販用諸費用パック・車検整備,広島県廿日市市沖塩屋1-9-8,2015,51,10百万円,,http://www.kei398.com/,,
2024-07-01,ＣＲＥＷ．１５株式会社,専門店（アパレル・アクセサリー）,1,ゴルフ用品・スポーツ用品・ゴルフアクセサリーのOEMの製造販売,神奈川県横浜市中区山下町24-8 SOHO STATION 501,2015,,300万円,,https://crew-15.com/,代表者 水越 紀之,
2024-06-01,ジェイフードエンターテイメント株式会社,通信販売・ネット販売,1,■事業内容： ⇒事業概要とその詳細について詳しく記載。また、ビジネスモデルに 関する記載も同項目にて記載。 ■ビジョン： ⇒設立背景や社長の思いは同項目にて記載。 ■特徴（TOPICS）： ⇒マーケット環境、製品・サービスに関する優位性を記載。または、 教育体制や福利厚生など企業マネジメントに関する特徴も記載。 ■組織風土： ⇒風土の説明は、企業を取り巻く競合他社、マーケット要因、社内制度 や対面した社員の方の印象など社風を裏付ける根拠も記載。,大阪府高槻市真上町5-35-3,2015,50,1百万円,30.0,https://b2b-ch.infomart.co.jp/company/detail.page?IMCOMPANY=8616744,,
2024-08-01,株式会社スナックミー,食品・GMS・ディスカウントストア,3,■事業内容：D2Cおやつメーカー・おいしいおやつの定期便「snaq.me」・晩酌サブスク「otuma.me」・ほおばるヘルシー「CLR BAR」・snaq.meに同梱している冊子「3PMmm…」■企業概要：2015年に設立した同社は「おやつと、世界を面白く。」をミッションとして掲げ、デジタル発の新しいおやつメーカーとして、webサービスのようにお客様のフィードバックを活用し「永遠のβ版」としてサービス改善を続け、製菓業界の枠組みにとらわれない面白い挑戦を続けてまいります。,東京都中央区日本橋箱崎町44-1イマス箱崎ビル8F,2015,85,10百万円,,http://snaqme.com/,,
2024-06-01,スマイルホールディングス株式会社,ドラッグストア・調剤薬局,1,【事業内容】・医薬調剤並びに医薬品の販売,徳島県徳島市佐古五番町3-14,1998,160,20百万円,,https://www.smile-group.jp/company/,,
2024-07-01,株式会社オートカヴァリーノ,自動車ディーラー,2,■事業内容： ⇒事業概要とその詳細について詳しく記載。また、ビジネスモデルに 関する記載も同項目にて記載。 ■ビジョン： ⇒設立背景や社長の思いは同項目にて記載。 ■特徴（TOPICS）： ⇒マーケット環境、製品・サービスに関する優位性を記載。または、 教育体制や福利厚生など企業マネジメントに関する特徴も記載。 ■組織風土： ⇒風土の説明は、企業を取り巻く競合他社、マーケット要因、社内制度 や対面した社員の方の印象など社風を裏付ける根拠も記載。,兵庫県神戸市東灘区向洋町東3-6-5,,,,,なし,,
2024-08-01,株式会社ＨＲＣ,通信販売・ネット販売,5,■通信販売事業「可愛さと品を兼ね備えたコンプレックスケア」をテーマに美容・コスメ・健康ジャンルなど、多数のオリジナル製品を取り揃えたインターネット通販サイトの運営を行っております。また、ご購入後のお客様サポートにも拘りをもち、お客様満足度の向上に注力しています。■商品企画・開発事業美と健康をサポートする商品開発現代に生きる女性が求めるものを徹底的にリサーチし、こだわりをもって企画・開発に取り組んでいます。,東京都豊島区高田3-14-29KDX高田馬場ビル5F,2015,60,30百万円,28.0,https://c-hrc.com/,,
