更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,有限会社青木測量設計事務所,その他,求人なし,静岡県富士市宮島28-43,1969,代表取締役 高柳 壽一,5 百万円,,,,
2024-08-01,有限会社旭電機,その他,求人なし,静岡県富士市平垣本町15-6,1985,取締役 鈴木 一輝,3 百万円,,,,
2024-08-01,市栄産業株式会社,その他,求人なし,静岡県富士市伝法3752-3,1976,代表取締役 市川 智也,10 百万円,,,,
2024-08-01,大林製材株式会社,その他,求人なし,広島県広島市安佐北区大林1-16-40,1967,代表取締役 荒谷 大地,10 百万円,,,,
2024-08-01,弘前舖装株式会社,その他,求人なし,青森県弘前市大字石川字中川原2-1,1964,代表取締役 澤田 博,30 百万円,,,,
2024-08-01,株式会社佐野光義鉄工所,その他,求人なし,静岡県富士市伝法1320-17,1980,代表取締役 佐野 弘,10 百万円,,,,
2024-08-01,有限会社コガ塗装,その他,求人なし,埼玉県越谷市蒲生3-2-21,1987,代表取締役 古賀 正則,8 百万円,,,,
2024-08-01,白川運輸株式会社,その他,求人なし,静岡県富士市鷹岡本町12-7,1956,代表取締役 白川 博嗣,10 百万円,,,,
2024-08-01,有限会社弘前ハウジング,その他,求人なし,青森県弘前市大字高田字苺原103-2,1991,代表取締役 藤田 秋子,5 百万円,,,,
2024-08-01,三和工業株式会社,その他,求人なし,広島県広島市安佐北区安佐町大字後山570-1,1952,代表取締役 三上 正彦,20 百万円,,,,
2024-08-01,弘前大学生活協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,青森県弘前市大字文京町1,1963,代表理事 山田 史生,284 百万円,,,,
2024-08-01,長崎県有家手延素麺協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,長崎県南島原市有家町山川391-3,1972,代表理事 中村 政男,39 百万円,,,,
2024-08-01,医療法人社団仁和会,その他,求人なし,広島県広島市安佐北区可部7-14-39,1974,理事長 児玉 裕志,"2,032 百万円",,,,
2024-08-01,株式会社津田製作所,その他,求人なし,静岡県富士市島田町1-131,1972,代表取締役 鳥居 淳一,10 百万円,,,,
2024-08-01,天間建設株式会社,その他,求人なし,静岡県富士市天間182-1,1960,代表取締役 吉野 秀彦,10 百万円,,,,
2024-08-01,中国開発計装株式会社,その他,求人なし,広島県広島市安佐北区可部町大字南原218-1,1978,代表取締役 弘中 悦二,30 百万円,,,,
2024-08-01,有限会社明治屋山崎商店,その他,求人なし,青森県弘前市大字本町85-1明治屋グランドビル 3Ｆ,1966,代表取締役 山崎 均,30 百万円,,,,
2024-08-01,有限会社佐藤運送,その他,求人なし,広島県広島市安佐北区あさひが丘6-33-7,2001,代表取締役 佐藤 博久,10 百万円,,,,
2024-08-01,有限会社まるいチップ工業,その他,求人なし,静岡県富士市大淵8281,1986,代表取締役 岩間 定男,5 百万円,,,,
2024-08-01,株式会社三上砕石,その他,求人なし,青森県弘前市大字藤野2-4-1,1978,代表取締役 三上 清一郎,10 百万円,,,,
2024-08-01,松石建設株式会社,その他,求人なし,長崎県平戸市生月町里免777-1,1967,代表取締役 松石 勝己,20 百万円,,,,
2024-08-01,株式会社モテック,その他,求人なし,静岡県富士市島田町2-100-1,1993,代表取締役 大塚 昇,20 百万円,,,,
2024-08-01,株式会社町田アンド町田商会,その他,求人なし,青森県弘前市大字津賀野字浅田996,1979,代表取締役 町田 容一郎,30 百万円,,,,
2024-08-01,富士王子紙業株式会社,その他,求人なし,静岡県富士市平垣300,1978,代表取締役 田中 数敬,10 百万円,,,,
2024-08-01,医療法人元秀会,特殊法人・財団法人・その他団体・連合会,求人なし,青森県弘前市大字和泉2-19-1,1999,理事長 小野 浩嗣,239 百万円,,,,
2024-08-01,株式会社エムエフノースジャパン,その他,求人なし,青森県弘前市大字末広1-1-1,1985,代表取締役 松宮 隆治,50 百万円,,,,
2024-08-01,福島自工株式会社,その他,求人なし,静岡県富士市柚木355,1992,代表取締役 福島 里子,30 百万円,,,,
2024-08-01,有限会社山田エツグフアーム,その他,求人なし,広島県広島市安佐北区三入2-14-20,1974,代表取締役 山田 修司,10 百万円,,,,
2024-08-01,有限会社サンキューカーサービス,その他,求人なし,長崎県佐世保市江迎町赤坂283-18,1989,代表取締役 森 大輔,3 百万円,,,,
2024-08-01,株式会社山千重機,その他,求人なし,青森県弘前市大字悪戸字中野196-2,1992,代表取締役 三上 美鶴,10 百万円,,,,
2024-08-01,有限会社赤石貨物,その他,求人なし,青森県弘前市大字野田1-12-5,1993,代表取締役 赤石 茂,5 百万円,,,,
2024-08-01,有限会社周和製袋,その他,求人なし,埼玉県越谷市七左町4-33-1,1986,代表取締役 池田 和彦,3 百万円,,,,
2024-08-01,株式会社太田新聞店,その他,求人なし,埼玉県越谷市大字大里713-6,1972,代表取締役 太田 靖彦,10 百万円,,,,
2024-08-01,久保家具装飾株式会社,その他,求人なし,広島県広島市安佐北区小河原町1241-1,1982,代表取締役 久保 雅明,10 百万円,,,,
2024-08-01,有限会社品川工業,その他,求人なし,広島県広島市安佐北区可部南2-21-32,1971,取締役 今中 幸枝,3 百万円,,,,
