更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,事業内容,上場市場名
2024-08-01,医療法人ふじあく医院,特殊法人・財団法人・その他団体・連合会,求人なし,群馬県太田市藤阿久町345,1988,理事長 馬場 尊,,,,59 百万円,,
2024-08-01,エプソン日新トラベルソリューションズ株式会社,その他,無,長野県塩尻市大字広丘原新田80,1987,代表取締役 乾 俊樹,,,,99 百万円,,
2024-08-01,株式会社松田精機,その他,求人なし,鳥取県鳥取市雲山360-1,1998,代表取締役 松田 康昭,,,,10 百万円,,
2024-08-01,有限会社コナン住建,その他,求人なし,鳥取県鳥取市千代水3-34-1,1987,代表取締役 山田 雄作,,,,6 百万円,,
2024-08-01,株式会社フェイスホールディングス,その他,求人なし,福岡県福岡市博多区博多駅南3-6-16,1991,代表取締役 福山 浩範,,,,50 百万円,,
2024-08-01,鋼和工業株式会社,その他,求人なし,北海道札幌市東区栄町899-17,1969,代表取締役 佐藤 直哉,,,,21 百万円,,
2024-08-01,有限会社安部板金,その他,求人なし,福岡県北九州市八幡西区木屋瀬1-16-1,1991,取締役 安部 裕一,,,,3 百万円,,
2024-08-01,丸中サンエー商事株式会社,その他,求人なし,北海道札幌市手稲区明日風5-19-30,1978,代表取締役 米倉 隼一,,,,10 百万円,,
2024-08-01,株式会社千代田工務店,その他,求人なし,鳥取県鳥取市宮長276-2,1967,代表取締役 荒田 潤之介,,,,20 百万円,,
2024-08-01,三共機械工業株式会社,その他,求人なし,北海道札幌市東区北三十五条東13-2-21,1956,代表取締役 曽山 幸祐,,,,10 百万円,,
2024-08-01,株式会社新星電子工業,その他,求人なし,群馬県太田市飯塚町1454,1971,代表取締役 服部 剛,,,,10 百万円,,
2024-08-01,株式会社富士ユニコン,その他,求人なし,鳥取県鳥取市布勢108,1984,代表取締役 石畑 真也,,,,14 百万円,,
2024-08-01,株式会社ソロ防水北海道,その他,求人なし,北海道札幌市東区北四十一条東5-2-15ルーファー高木 2Ｆ,1971,代表取締役 髙木 好一,,,,12 百万円,,
2024-08-01,情報リンク協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,鳥取県鳥取市正蓮寺43-25,1990,代表理事 岡本 博和,,,,3 百万円,,
2024-08-01,有限会社岩三工業,その他,求人なし,福岡県北九州市八幡西区穴生4-16-2902,1978,代表取締役 岩三 晴幸,,,,3 百万円,,
2024-08-01,株式会社クライス工業,その他,求人なし,北海道札幌市東区東苗穂三条3-1-79,1982,代表取締役 波多野 忍,,,,10 百万円,,
2024-08-01,道建工事株式会社,その他,求人なし,北海道札幌市東区北十三条東5-1-24,1950,代表取締役 長江 一司,,,,20 百万円,,
2024-08-01,道央電建株式会社,その他,求人なし,北海道札幌市東区東苗穂五条3-7-8,1973,代表取締役 櫻井 賢佐,,,,10 百万円,,
2024-08-01,株式会社鳥取メカシステム,その他,求人なし,鳥取県鳥取市若葉台南7-1-31,1988,代表取締役 林 正太郎,,,,30 百万円,,
2024-08-01,株式会社ジョブシステム,その他,求人なし,長野県諏訪市沖田町4-25沖田Ｍビル 2Ｆ,1999,代表取締役 井上 正洋,,,,15 百万円,,
