更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名
2024-08-01,株式会社三企水道工業所,サブコン,求人なし,,奈良県奈良市法華寺町665,1956,代表取締役 川崎永美,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本道路保安株式会社,サブコン,求人なし,,奈良県奈良市南永井町88,1972,代表取締役 西田 新,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社東日本ハウジング,住宅（ハウスメーカー）,無,,神奈川県横浜市青葉区美しが丘5-12-10,1993,代表取締役 岩内 日出世,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社恵水園,ゼネコン,求人なし,,奈良県奈良市鶴舞東町2-25,1970,代表取締役社長 岡田 隆,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,杉本電気工事株式会社,設備管理・メンテナンス,求人なし,,兵庫県神戸市兵庫区永沢町2-1-4,1991,代表取締役 杉本 衛,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ダイソーエンジニアリング株式会社,建築設計事務所,求人なし,,大阪府大阪市西区阿波座1-12-18,1975,代表取締役社長 吉信 光敏,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社まちだ,内装・インテリア・リフォーム,求人なし,,三重県伊賀市柘植町3492-2,1985,代表取締役 町田 一夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社コワシステム,サブコン,求人なし,,愛知県名古屋市南区西田町3-5-1,1990,代表取締役 小島 健,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,神戸整備重機株式会社,サブコン,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■土木・建設工事全般 -土木工事 -とび・土工工事 -石工事 -鋼構造物工事 -舗装工事 -しゅんせつ工事 -水道施設工事 …ほか■環境事業（廃棄物の運送・処理）※建設業許可番号：兵庫県知事許可 第108088号《主要取引先》兵庫県、神戸市50年近く「土木事業」と「環境事業」を手がけてきた当社は、神戸市環境局が所管するプロジェクトで豊富な経験を積んでおります。 2023年2月doda掲載求人より引用,兵庫県神戸市兵庫区駅南通5-4-15,1975,代表取締役 吉田 茂,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ダイドー,設備管理・メンテナンス,求人なし,,大阪府大阪市西区北堀江1-1-4長堀新興産ビル 6Ｆ,1984,代表取締役 馬塲 繁美,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社シードコンサルタント,建設コンサルタント,求人なし,,奈良県奈良市芝辻町2-10-6,1972,代表取締役 扇谷 俊樹,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ゆめや不動産株式会社,不動産仲介,求人なし,,神奈川県横浜市青葉区市ケ尾町1169-5フォンテーヌ市ケ尾 1Ｆ,1978,代表取締役 柿内 美恵子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
