更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者
2024-07-01,前福不動産投資株式会社,不動産管理,1,【収益マンションを取り扱う不動産投資会社×近江牛を取り扱う近江牛専門店経営】■事業内容…（１）不動産投資事業…主に関西圏を中心に収益マンション等の不動産事業を展開しております（２）近江牛専門店「万葉まえだ亭」経営…近江牛で有名な滋賀県の「万葉」の姉妹店として「万葉まえだ亭」を経営しております。,大阪府大阪市 西区西本町1-11-7エイトビル西本町 8F,2016,,5,3百万円,なし,
2024-07-01,株式会社スウィッチ,住宅設備・建材,1,■事業内容：エクステリア・外構・造成・ガーデン工事・石工事の施工,愛知県あま市七宝町秋竹四町田805-15,2011,39.0,2,3百万円,http://switch-on.co.jp/,
2024-07-01,株式会社アソートフジ,設備管理・メンテナンス,1,製鉄所構内における、鉄鋼半製品の検査、設備、機械点検、補助作業,【本社】〒808-0021 福岡県北九州市若松区響町1-110-10【株式会社アソートフジ仙台事業所】〒983-0001 宮城県仙台市宮城野区港1丁目6-1 JFEスチール仙台製造所構内,2000,45.0,88,1000万円,https://assortfujisendai.wixsite.com/home,代表者 萩尾 寿昭
2024-06-01,株式会社フタバコーポレーション,サブコン,4,■事業内容： 一般住宅及び公共建築物の外壁・屋根工事、一般住宅及び公共建築物の改修工事、内・外装リフォーム工事建物・設備の検査等,大阪府大阪市中央区淡路町3-1-1,2010,,14,5百万円,http://futabacorp.com/index.php,
2024-07-01,ユニカ株式会社,住宅設備・建材,2,■企業概要：水道･電気工事の他、耐震補強や環境保全など、あらゆる工事現場で必要不可欠となっているドリルとアンカーの開発･生産をしています。20年以上前には中国、ベトナムにも生産拠点を立ち上げ、環境配慮型製品の特許を取得するなど、時代を先読みした経営も魅力です。■事業内容：◇コンクリートドリル･コアドリル等各種電動先端工具の製造販売◇アンカー等建設ファスニング資材の製造販売,東京都千代田区岩本町2-10-6,1965,44.0,130,50百万円,http://www.unika.co.jp/,
2024-06-01,株式会社フォースエイド,不動産仲介,1,【店舗などの事業用不動産に特化した賃貸仲介業】■東京都知事免許(3)第96205号,東京都千代田区神田東紺屋町30 サンハイツ神田北村ビル4F,2013,,,1000万円,https://tenpoaid.com,代表取締役 岩崎 信幸
2024-07-01,作州不動産株式会社,不動産仲介,4,■企業概要： 作州不動産株式会社はエイルマンションで名を知られている作州商事のグループ会社です。福岡・大分・熊本・長崎・鹿児島に拠点を置き、地域に密着した不動産総合企業として、お客さまのあらゆるご要望にお応えしています。■事業詳細：・不動産の売買・賃貸借・管理・仲介業・不動産コンサルタント業・マンションの分譲及び建売住宅の販売・デベロッパー業務/ビルメンテナンス業 など,福岡県福岡市博多区大博町2-7宝州博多第IIビル,2013,,37,3百万円,https://sakushu-re.co.jp/,
2024-07-01,株式会社ロコハウス,不動産仲介,2,■事業内容： ⇒住宅の建設、販売、賃貸、管理、並びに土地の造成、販売、都市計画、都市開発、地域開発、共同ビルに関する企画、調査、設計、事業計画の策定及びコンサルティング商業施設、各種スポーツ施設、娯楽施設、食堂喫茶、売店等の経営及び賃貸借建物、及び建物に付属する設備の点検、保守駐車場の運営、管理特定目的会社、特別目的会社 (財務諸表等の用語、様式、及び作成方法に関する規則に定める会社) 及び不動産信託に対する出資、並びに出資持分の売買、仲介、管理信託受益権の売買とその代理、及び媒介,福岡県福岡市東区美和台1-22-3,2013,,10,9百万円,https://locohouse.jp,
2024-06-01,株式会社住工房,住宅（ハウスメーカー）,1,■事業内容：住宅リフォーム、店舗改装、外構エクステリア、新築、増改築、シックハウス対策、介護用リフォーム、バリアフリー,静岡県三島市幸原町1-1-10石井ビル銀杏館,2013,,15,3百万円,http://www.jyukobo.co.jp/,
2024-06-01,大阪砕石エンジニアリング株式会社,サブコン,1,■事業内容：・砕石工事、土木工事、機械器具設置工事、電気工事の請負ならびに設計、施工管理・砕石機械、建設機械、重機、車輌の販売並びに賃貸、リース・不動産の賃貸及び管理・産業廃棄物の収集、運搬、再生、処理業務並びに中間処理業、最終処分業、産業廃棄物の再生物の加工売買・建設現場等で使用した建設機械類の売買、交換／建設機械等の解体金属くず等の販売、交換・上記各業務に付帯する一切の業務,大阪府大阪市北区堂島1-5-17堂島グランドビル6F,2013,48.0,120,50百万円,http://www.osakasaiseki.co.jp/engineering/index.php,
