更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,三和エクステリア西東京株式会社,住宅設備・建材,無,東京都西東京市下保谷2-1-5保谷パレス 1Ｆ,1991,代表取締役 鎌田 美智子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,Ｎａｊｉｃｏ　ｔｅｃｈ株式会社,設備管理・メンテナンス,無,東京都江東区木場2-17-12ＳＡビルディング 2Ｆ,1991,代表取締役 中村 輝樹,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社テクノケアー,プラントメーカー・プラントエンジニアリング,求人なし,東京都品川区西中延2-3-18,1995,代表取締役 佐藤 誠,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社富士エンジニアリング,サブコン,無,東京都墨田区立川1-7-11,2006,代表取締役 大塚 等,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ハーキュリーズ・リアルティ,不動産仲介,求人なし,東京都港区北青山2-7-11青山但馬屋ビル 5Ｆ,2001,代表取締役 笹尾 荘吾,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社グローバルアーチ,建築設計事務所,無,東京都千代田区内神田1-5-4ミヤコビル 4Ｆ,1998,代表取締役 森 隆茂,27 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■橋梁及び鋼構造物の設計■シールドトンネル(セグメント)の設計■道路及び道路構造物の設計■構造物の点検調査■維持管理用資料の作成■土木関連のプログラム開発及びデータベースの作成＜主要取引先＞日鉄エンジニアリング株式会社一般財団法人 首都高速道路技術センター 2022年3月doda掲載求人より引用
2024-08-01,神成株式会社,サブコン,求人なし,富山県富山市婦中町鵜坂138-1,2005,代表取締役 杉下 洋一,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社新建設,サブコン,無,東京都江戸川区中葛西1-38-5,2005,代表取締役 大金 弘幸,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アセットインベスター,不動産仲介,求人なし,東京都中央区新川1-6-12ＡＩビル茅場町 5Ｆ,2003,代表取締役 東 憲,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,鈴木農園総業株式会社,不動産仲介,求人なし,東京都世田谷区用賀1-25-2,1964,代表取締役 榊原 貴子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
