更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,上場市場名
2024-07-01,ナカザワワークス株式会社,内装・インテリア・リフォーム,4,■事業内容： ⇒事業概要とその詳細について詳しく記載。また、ビジネスモデルに 関する記載も同項目にて記載。 ■ビジョン： ⇒設立背景や社長の思いは同項目にて記載。 ■特徴（TOPICS）： ⇒マーケット環境、製品・サービスに関する優位性を記載。または、 教育体制や福利厚生など企業マネジメントに関する特徴も記載。 ■組織風土： ⇒風土の説明は、企業を取り巻く競合他社、マーケット要因、社内制度 や対面した社員の方の印象など社風を裏付ける根拠も記載。,大阪府和泉市あゆみ野4-3-20,2018,30百万円,,63,https://nakazawa-works.com/,,
2024-07-01,株式会社東ホールディングス,建設コンサルタント,1,■事業内容：東グループ会社の統括及びグループ会社に関する各種管理業務,埼玉県入間市新久137-1,2018,10百万円,,26,http://azuma-hd.co.jp/,,
2024-07-01,株式会社スタイリード,不動産仲介,1,新築戸建て・中古マンション・土地の仲介○神奈川県知事 (2) 第30233号,神奈川県横浜市神奈川区神奈川２丁目14-22,2018,,,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010733452/: 'NoneType' object has no attribute 'get',代表取締役社長 西村 和俊,
2024-08-01,ヤマワケエステート株式会社,不動産金融,1,■事業内容： 不動産クラウドファンディング,大阪府大阪市中央区北浜2-3-14小谷ビル3F,,,,,https://yamawake-estate.jp/,,
2024-06-01,株式会社ＺＥＲＯ,住宅設備・建材,1,タカラスタンダード株式会社の協力企業として、キッチンやユニットバス、洗面台の取り付けや、住宅設備全般のリペア、リフォームを行っています。＜大阪府知事許可 第152963号＞【主要取引先】■タカラスタンダード株式会社■株式会社LIXIL■タマホーム株式会社 など,大阪府池田市豊島北１-10-18,2013,500万円,,18,https://rashiku-zero.com,代表取締役 大竹 篤史,
2024-07-01,創家建設工業株式会社,サブコン,6,■事業概要：・鉄筋工事事業（売上全体の50％を占めます。）：マンションやビルの大規模な現場から店舗の建具の小規模な現場まで、様々な建造物の鉄筋工事に対応しています。・一般戸建て住宅事業（売上全体の25％）：創業以来、大手住宅ビルダーの新築住宅の施工を手掛けてきた技術力とノウハウで高品質な施工を行っています。・リフォーム事業（売上全体の25％）：数多くの住まいづくりで培った実績とノウハウをもとに、ちょっとした修繕から大規模なリフォームまでお客様の建物・住まいに最適なプランをご提案します。,千葉県船橋市習志野1-12-18,1956,30百万円,45.0,22,https://www.soukakensetsu.co.jp,,
2024-06-01,株式会社岡本工務店,サブコン,1,■事業内容： 基礎工事一式、型枠工事一式、型枠解体工事一式、外構工事一式、除排雪工事一式,北海道札幌市北区新琴似十条15-6-10,2018,1百万円,40.0,2,https://okakou77.com/,,
2024-07-01,株式会社ROLE,内装・インテリア・リフォーム,1,■一般住宅リフォーム工事■不動産仲介業下請けリフォーム■店舗・オフィス内装工事■住宅・店舗リフォーム■外構工事（外壁塗装・カーポート・門扉）,大阪府池田市天神2-3-4,2018,500万円,,5,https://rolereform.com/,代表取締役 菊川 暢也,
2024-08-01,株式会社アレスト,サブコン,1,太陽光発電設備工事（小規模、大規模）省エネ、エコ事業（LED更新工事）総合電気設備工事（ビル、マンション、工場、店舗、戸建住宅等）工場電力工事及び電気計装工事空調設備工事（家庭用、業務用）アンテナ基地局設備工事アンテナ共聴工事高圧デマンドコントロールシステムメンテナンス高圧機器改修工事防犯設備工事一式弱電設備工事一式,大阪府堺市西区津久野町1丁8-26,2018,,,,https://alest.co.jp/,代表取締役 植田 光貴,
2024-07-01,三愛テック株式会社,サブコン,1,■事業概要：・産業用機械の制御盤の設計・組付け配線：ハード設計・ソフト設計・調整まで一貫して行っております。・機械内配線工事：定期点検の際にもメンテナンスが短時間で完了することまで想定した作業を行っております。,愛知県一宮市奥町字土桶17-3,2018,2百万円,,8,https://www.sanaitec0607.com/index.html,,
2024-07-01,株式会社Ｔ‐Ｃｒｕｉｓｅ,内装・インテリア・リフォーム,11,■事業内容： ・電気事業（電気工事一式請負）・内装工事一式請負・古物品売買・ハウスクリーニング・エアコン取付工事・内装解体,東京都中央区湊1-12-10八丁堀リバーゲイト2F,2018,5百万円,,,なし,,
2024-07-01,株式会社みずほ,住宅設備・建材,1,■事業内容： 1.建設・土木・設備工事の設計、施工、監理及び請負2.電気設備・通信設備・空調設備・給排水設備・衛星設備の設計、施工及び管理並びに器具の販売3.不動産の売買、賃貸、仲介、保守及び管理4.発電並びに電機の供給及び販売,滋賀県蒲生郡日野町大字別所195,2018,10百万円,,9,http://www.mizuho-no-ie.co.jp/#works,,
2024-08-01,ちはらエンジ株式会社,プラントメーカー・プラントエンジニアリング,2,■事業概要：・機械工事：バルブ・コンベア・大型ポンプ・熱交換器等の様々な機器の施工実績があり、調査・各種検討・計画から監理・納品まで一貫施工しております。・配管工事：小口径から大口径の様々な配管工事を手掛けており、水・ガス・油の流体でSS材・SUS材・ライニングの施工実績があります。設計から非破壊検査・試運転まで一貫施工しております。・鋼製造・土木工事：、現地の地盤調査から設計・工事まで機械基礎工事を主に施工しております。・製作加工 等,千葉県市原市ちはら台西2-10-14,2018,50百万円,40.0,7,https://chihara-eng.co.jp/,,
