更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,上場市場名
2024-07-01,辻・本郷スマートアセット株式会社,その他専門コンサルティング,2,"■会社概要辻・本郷 スマートアセット株式会社は、辻・本郷グループが誇る、顧問先数17,000社を超える豊富な経験とネットワークを活かし、様々な角度からサービスを提供致します。■再生可能エネルギーコンサルティング事業自然エネルギーの固定買取制度（FIT）を活用した再生可能エネルギー事業に取り組んでいます。本事業を通して、事業主様には売電収入、地域には家賃収入や雇用を生み出しています。",東京都新宿区新宿4-1-6JR新宿ミライナタワー28F,2022,,,48,https://ht-sa.jp/,30百万円,
2024-08-01,株式会社キカリ,その他専門コンサルティング,4,■事業内容： ・コンサルティング業務の受託・情報提供サービスの企画、運営及び管理業務・広告宣伝に関する企画、制作及び広告代理業務・インターネットを利用した市場調査、宣伝、広告等の受託・人材の職業適正能力開発のための研修、指導及び教育事業,東京都千代田区麹町3-3-8,2022,,,40,https://kikari.co.jp/,1百万円,
2024-05-01,株式会社ＯＦＡ,財務・会計アドバイザリー（FAS）,1,◆医療福祉業界コンサルティング／M＆A・出資事業◆営業代行事業・マーケットリサーチ事業◆不動産事業◆保険コンサルティング事業◆ビジネスマッチング事業,東京都千代田区二番町9-3 THE BASE 麹町,2022,代表取締役 大﨑 悠生,,,https://ofa-biz.com/index.php,,
2024-07-01,株式会社ＣＨＣＰデンタル,その他専門コンサルティング,1,■事業内容： 歯科医院等の経営支援当社では、優良なオペレーション(＝ベストプラクティス）の導入支援を行うことにより、地域に求められる歯科グループを形成し、新たな地域包括ケアモデルを創出していくことを目指しております。・経営プロフェッショナルの第三者参画による持続可能な地域医療体制に向けたガバナンス体制の構築・CHCPグループからの資金及び金融機関からの信頼を背景とした成長資金の提供・採用・教育・シフトコントロールの実践によるリテンションの向上・地域に所在する病院、施設(自宅含む)との連携強化・共同購買、本部機能、ICT導入による業務オペレーションの強化及び効率化,東京都千代田区丸の内1-8-1,2022,,,,https://www.chcp.jp/,,
2024-08-01,株式会社クオンティア,経営・戦略コンサルティング,1,■事業内容：・戦略コンサルティング・IT／業務コンサルティング・DXコンサルティング,東京都港区南青山3-3-3,2022,,,20,https://quontier.com/,20百万円,
2024-07-01,株式会社P-UP neo,組織人事コンサルティング,2,■事業内容： ・組織や人事のコンサルティング事業■当社について：・当社はP-UP Worldグループのひとつとして、2022年6月1日に事業会社化されました。「組織コンサルティング」と「人材コンサルティング」の2本を柱に、全国の会社様の組織拡大に貢献ています。・P-UP Worldグループには、株式会社P-UP Worldを親会社とし、現在9つの事業会社があります。200店舗以上を運営するモバイル事業を中心に、幼児教育事業、人材事業、飲食事業、モーターバイク事業、商品開発、組織コンサルティング事業など、幅広い事業を展開しています。,台東区池之端１丁目２‐１８ＮＤＫ池之端ビル８Ｆ,2022,,,30,https://www.shikigaku-pupworld.jp/,9百万円,
2024-08-01,株式会社タナベコンサルティング,経営・戦略コンサルティング,11,創業66年目を迎える日本の総合経営コンサルティングのパイオニア。「First Call Company 100年先も一番に選ばれる会社をともに」というミッションを掲げています。実績から培った原理原則をノウハウとして体系化している事で、クライアント企業に対して個別の最適解を提供しています。,大阪府大阪市淀川区宮原3-3-41,,,38.0,660,https://www.tanabeconsulting.co.jp/,"1,772百万円",プライム市場
2024-08-01,エーピーエス社会保険労務士法人,社会保険労務士事務所,無,■労務管理（労働・社会保険手続き）全般および労務相談業務■助成金申請に関する手続全般■就業規則・賃金規定の作成 2024年5月doda掲載求人より引用,大阪府大阪市中央区北久宝寺町2-2-13,2022,社員 樋口 次郎,,,"Failed to retrieve page, status code: 410",,
2024-06-01,株式会社グリーングロース,その他専門コンサルティング,2,■事業内容： (1)再生可能エネルギーの導入コンサルティング-異業種からの再生可能エネルギー市場への参入検討-太陽光・バイオマス発電などの事業性評価-法人向け太陽光発電の売電スキーム検討 等(2)太陽光発電事業等の新規事業・事業開発支援-外部環境・内部環境の整理-最適なプランの検討・策定-計画実行のシミュレーション-ハンズオン支援（PPA導入、非化石証書の購入支援 等）(3)その他-地域電源開発-再生可能エネルギーマーケットのリサーチ・コンサルティング 等,東京都渋谷区代々木1-30-15天翔代々木ビル3F S-302号室,2022,,,1,https://greengrowth.co.jp/,3百万円,
2024-08-01,株式会社ＣＢリサーチ,マーケティング・リサーチ,2,■事業内容： 新規事業構築支援本質的な課題や将来を見据えた視点で、地域におけるお客さまの新たな価値をご提案いたします。その地域が何を必要としているのかを見極め、地域での存在意義と収益性を兼ね備えた事業計画をはじめ、事業立ち上げの諸業務から、その後のフォローアップまで対応いたします。地図作りを間違えると最適なゴールにはたどり着きません。地図の使い方がわからないのも同様、最適なゴールにはたどり着きません。ビッグデータはもちろん、当社だけに蓄積された経験・実績を駆使し、綿密に計画を立て、ゴールまでの道筋を明示・推進いたします。,東京都港区浜松町1-18-16住友浜松町ビル 5F,2022,,,,https://www.cb-ri.co.jp/,,
2024-08-01,株式会社マーケティングアプリケーションズ,マーケティング・リサーチ,1,■事業内容： ・マーケティングリサーチプラットフォーム・データマネジメントツール／ソフトウェア・システムソリューション＜私たちが提供するプラットフォームサービス＞～アスキングデータ収集のためのプラットフォーム～私たちはリサーチ業界に特化したリサーチプラットフォームをはじめとして、一般消費者やカスタマーの「声」を企業に届けることに特化したSaaSを提供しています。,東京都渋谷区千駄ヶ谷5-27-5,2022,,,26,"Failed to retrieve page, status code: 410",100百万円,
