更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,有限会社ミズテック,石油・資源,無,福岡県福岡市中央区今川1-1-19メゾン・ド・唐人 201,2005,取締役 水守 勝美,3 百万円,,,,,
2024-08-01,株式会社イオ,電力,無,東京都三鷹市上連雀8-13-14メゾンブランシュ 1Ｆ,1992,代表取締役 伊藤 友一,13 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■集合インターホン改修業＜事業資格＞・一般建設業許可（東京都知事 般-4 107722号）・電気通信工事業・消防設備工事業・電気工事業・登録電気工事事業者（東京都知事 届出 第249026） 2023年4月doda掲載求人より引用,
2024-08-01,株式会社ティーレックス,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都足立区千住橋戸町6,2011,代表取締役 中馬 圭司,15 百万円,,,,,
2024-08-01,株式会社ＪＡドリーム,ガス,求人なし,兵庫県姫路市三左衛門堀西の町216,1988,代表取締役 松芳 啓之,48 百万円,,,,,
2024-08-01,株式会社ＦＫエナジー,新エネルギー（太陽光・風力・地熱・バイオなど）,無,福岡県福岡市博多区西月隈5-18-43,2013,代表取締役 蘇 慶,100 百万円,,,,,
2024-08-01,株式会社イーエス電気,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,青森県八戸市大字長苗代字内舟渡56-1,2013,代表取締役 畑中 寿之,9 百万円,,,,,
2024-08-01,ＰＶテクニカルサービス株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,岐阜県岐阜市梅河町1-12-2楠目ビル,2013,代表取締役 楠目 泰隆,10 百万円,,,,,
2024-08-01,土佐グリーンパワー株式会社,電力,求人なし,高知県高知市仁井田4354,2013,代表取締役 中村 正紀,125 百万円,,,,,
2024-08-01,株式会社ウッドヴェル,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,岡山県岡山市北区下石井2-1-18ＯＧＷ岡山下石井ビル9Ｆ,2013,代表取締役 鈴木 順善,1 百万円,,,,,
2024-08-01,株式会社キミットメンテナンス,石油・資源,求人なし,千葉県千葉市稲毛区作草部町1374-2椿森ウェルズ21 パート2－Ｂ号室,2013,代表取締役 志水 公彦,5 百万円,,,,,
2024-08-01,株式会社テックプランニング,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,茨城県石岡市東石岡3-12-21,2001,代表取締役 植田 美代子,40 百万円,,,,,
2024-08-01,英工電設株式会社,電力,求人なし,栃木県宇都宮市兵庫塚3-36-11,2004,代表取締役 渡邉 敏夫,5 百万円,,,,,
2024-08-01,熊谷商事株式会社,ガス,無,神奈川県横浜市泉区下和泉4-17-28,1974,代表取締役 熊谷 輝幸,20 百万円,,,,,
2024-08-01,株式会社ノザワコーポレーション,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,新潟県新潟市中央区有明台1-5,2000,代表取締役 野沢 慎吾,10 百万円,,,,,
2024-08-01,株式会社ペガソス・エレクトラ,石油・資源,求人なし,神奈川県横浜市港北区新横浜2-6-12ＳＴＡＦビル 7Ｆ,2009,代表取締役 吉川 元宏,145 百万円,,,,,
2024-08-01,株式会社ナカムラ電工,電力,求人なし,東京都世田谷区砧3-29-3,2013,代表取締役 中村 貴志,4 百万円,,,,,
2024-08-01,株式会社ＢＰＳ大東,電力,無,大阪府大東市大字龍間1159-7筆,2013,代表取締役社長 東野 隼士,99 百万円,,,,,
2024-08-01,杉本電気セルワークス有限会社,電力,求人なし,京都府宇治市槇島町吹前53-2,1998,代表取締役 上野晋弥,3 百万円,,,,,
2024-08-01,ソランソーラーインスティテュート株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,大阪府高槻市南平台1-6-10,2008,代表取締役 櫻田 則男,3 百万円,,,,,
2024-08-01,株式会社市川アストモスターミナル,ガス,求人なし,千葉県市川市高谷新町6-2,1973,代表取締役 片寄 智樹,10 百万円,,,,,
2024-08-01,株式会社フクデン,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,岡山県岡山市南区泉田2-6-15,1976,代表取締役 福田 崇,16 百万円,,,,,
2024-08-01,株式会社エヌアンドエス,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,滋賀県草津市野路東5-26-32,1989,代表取締役 野口 哲,3 百万円,,,,,
2024-08-01,株式会社アドバンスメンテナンス,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都千代田区神田須田町1-16-5,2013,代表取締役 渋谷 君美義,80 百万円,,,,,
2024-08-01,株式会社フロンティアエナジー,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,北海道千歳市千代田町4-14千歳第一ビル 2Ｆ,2013,代表取締役 三村挑嗣,10 百万円,,,,,
2024-08-01,株式会社クレアデザインテック,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,千葉県柏市柏4-2-1リーフスクエア柏ビル2Ａ,2013,代表取締役 石田 眞悟,3 百万円,,,,,
2024-08-01,有限会社綜合電研,石油・資源,求人なし,岩手県盛岡市東緑が丘5-9,2003,,3 百万円,,,,,
2024-08-01,株式会社パワーステーション茨城,石油・資源,求人なし,茨城県北茨城市磯原町磯原889-1,2005,代表取締役 簗嶋 武彦,250 百万円,,,,,
2024-08-01,株式会社加藤テック,ガス,求人なし,東京都八王子市小宮町965,1969,代表取締役 加藤 総勇,10 百万円,,,,,
2024-08-01,ＧＯＬＤ・ＣＯＭＯＮ株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都港区西新橋1-17-6永野ビル 2Ｆ,2012,代表取締役 太田 富雄,8 百万円,,,,,
2024-08-01,有限会社ザ・ベストワン,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都中野区中央5-14-4モンテベルデ新中野 208,2000,代表取締役 大田 宏一,10 百万円,,,,,
2024-08-01,株式会社ＴＲＩＰＬＥ－Ｅ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都中央区日本橋本町1-5-3第一日高ビル2Ｆ,2007,代表取締役 井口 知也,10 百万円,,,,,
2024-08-01,株式会社明星,石油・資源,求人なし,岡山県倉敷市福田町浦田2174-14,1994,代表取締役 須藤 よしえ,30 百万円,,,,,
2024-08-01,株式会社ＡＣＲＡＦＴ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都八王子市大和田町1-9-12,2007,代表取締役 本間 明裕,2 百万円,,,,,
2024-08-01,株式会社オキタ石油,石油・資源,求人なし,広島県広島市南区青崎1-6-6,1965,代表取締役 沖田 勝,10 百万円,,,,,
2024-08-01,バイオマスエナジー株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,長崎県諫早市泉町18-22イケダビル 2Ｆ,2006,代表取締役 平本 光識,"1,170 百万円",,,,,
2024-08-01,株式会社フューズテック,電力,無,東京都江東区亀戸7-57-8都営亀戸七丁目アパート8号棟 1Ｆ,2006,代表取締役 布施 則明,5 百万円,,,,,
2024-08-01,株式会社リガーレ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都渋谷区代官山町14-20603,2013,代表取締役 高浦 雅之,9 百万円,,,,,
