更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,平松電気工事株式会社,電力,求人なし,,岡山県岡山市南区福浜町13-28,1963,,20 百万円,,,,代表取締役 平松 良一
2024-08-01,岡山ガステクノサービス株式会社,ガス,求人なし,,岡山県岡山市北区今7-22-27,1975,,20 百万円,,,,代表取締役 森脇 祐俊
2024-08-01,因の島ガス株式会社,ガス,求人なし,,広島県尾道市因島田熊町5037,1962,,52 百万円,,,,代表取締役社長 村上 祐司
2024-08-01,中国電力株式会社,石油・資源,求人なし,,広島県広島市中区小町4-33,1951,,"197,024 百万円",,,プライム,代表取締役社長執行役員 中川 賢剛
2024-08-01,広島ガス株式会社,石油・資源,求人なし,,広島県広島市南区皆実町2-7-1,1909,,"5,268 百万円",,,プライム,代表取締役社長 松藤 研介
2024-08-01,山口合同ガス株式会社,ガス,求人なし,,山口県下関市本町3-1-1,1915,,487 百万円,,,,代表取締役 三喜田 修一
2024-08-01,筑紫ガス株式会社,ガス,求人なし,,福岡県筑紫野市紫2-12-10,1964,,75 百万円,,,,代表取締役 前田 健吾
2024-08-01,西部ガスホールディングス株式会社,石油・資源,求人なし,,福岡県福岡市博多区千代1-17-1,1930,,"20,629 百万円",,,プライム,代表取締役社長 道永 幸典
2024-08-01,西日本高圧瓦斯株式会社,石油・資源,求人なし,,福岡県福岡市博多区古門戸町4-16奥村ビル 1Ｆ,1953,,80 百万円,,,,代表取締役 木全 明典
2024-08-01,九州電力株式会社,電力,無,,福岡県福岡市中央区渡辺通2-1-82,1951,,"237,304 百万円",,,プライム,代表取締役 社長執行役員 池辺 和弘
2024-08-01,株式会社エフ・イー・シー,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,,福岡県福岡市博多区祇園町4-61ＦＯＲＥＣＡＳＴ博多祇園 9Ｆ,1972,,79 百万円,,,,代表取締役 中村 成圭
2024-08-01,西日本ガス株式会社,ガス,求人なし,,福岡県柳川市新外町89-2,1962,,30 百万円,,,,代表取締役 橋本 幸三
2024-08-01,九電ネクスト株式会社,電力,求人なし,,福岡県福岡市中央区白金1-17-8ＦＳ21ビル 5Ｆ,1990,,"1,068 百万円",,,,代表取締役社長 川畑 健二
2024-08-01,大分瓦斯株式会社,ガス,求人なし,,大分県別府市北的ケ浜町5-25,1925,,88 百万円,,,,代表取締役 福島 知克
2024-08-01,株式会社ハッピー電気商会,石油・資源,求人なし,,熊本県熊本市中央区新市街11-14,1952,,31 百万円,,,,代表取締役 赤城 藤孝
2024-08-01,九州ガス株式会社,ガス,求人なし,,長崎県諫早市幸町1-23,1959,,80 百万円,,,,代表取締役 栗林 宏光
2024-08-01,株式会社フジオカ,石油・資源,求人なし,,長崎県長崎市田中町582-4,1949,,67 百万円,,,,代表取締役 藤岡 秀則
2024-08-01,日本瓦斯株式会社,ガス,求人なし,,鹿児島県鹿児島市中央町8-2,1941,,645 百万円,,,,代表取締役社長 津曲 貞利
2024-08-01,沖縄ガス株式会社,ガス,求人なし,,沖縄県那覇市西3-13-2,1958,,250 百万円,,,,代表取締役 我那覇 力蔵
2024-08-01,沖縄電力株式会社,電力,求人なし,,沖縄県浦添市牧港5-2-1,1972,,"7,586 百万円",,,プライム,代表取締役社長 お客さま本部長 本永 浩之
2024-08-01,上野都市ガス株式会社,ガス,求人なし,,三重県伊賀市上野茅町2706,1981,,80 百万円,,,,代表取締役 中井 茂平
2024-08-01,河内長野ガス株式会社,ガス,求人なし,,大阪府河内長野市昭栄町14-31,1961,,30 百万円,,,,代表取締役 吉田 顕
2024-08-01,日本ガスエンジニアリング株式会社,ガス,求人なし,,大阪府大阪市西区南堀江3-12-216Ｆ,1970,,30 百万円,,,,代表取締役 仙石 智昭
