更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-08-01,株式会社アサイン,人材紹介・職業紹介,11,■事業内容：人材紹介・コーチング・研修■同社のサービス：若手優秀層を対象に新しいカタチの転職サービスを行うエージェントです。（1）真剣に寄り添いつづける…転職者一人ひとりの人生と向き合い、進路のことから将来のための準備に至るまで、転職後もキャリアサポートを行います。（2）経歴より「個性」を重視する…社歴や肩書きで転職者を判断するのではなく、直接顔を合わせて信頼関係を築き、その方の価値観や情熱も含めた個の力を見つめます。（3）互いの幸せを突き詰める…転職者の想いを尊重することはもちろん、採用者の声にも真摯に耳を傾け、互いのためになる転職を実現します。,東京都千代田区霞が関3-2-5,2016,,150,4百万円,,https://assign-inc.com/,
2024-08-01,Alorica Japan株式会社,アウトソーシング,1,BPO（ビジネス・プロセス・アウトソーシング）サービスの展開,宮城県仙台市青葉区上杉1-6-6 イースタンビル9階,2016,,180,1000万円,,https://www.alorica.com/,代表取締役 ルーカス オリバーフロスト
2024-08-01,株式会社ホットスタッフ成田,人材派遣,無,■千葉県内の下記エリアを中心とした人材派遣業■労働者派遣事業（一般認可番号12-300633）■優良職業紹介事業（優良認可番号12-ユ-300552）＜管轄エリア＞成田市・富里市・佐倉市・印西市・八街市・酒々井町・四街道市・印旛郡・香取郡・香取市・旭市・銚子市・匝瑳市・山武市・八千代市・東金市 2024年6月doda掲載求人より引用,千葉県富里市日吉台1-6-1アラビル 2Ｆ,2017,,,20 百万円,,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社エクシードキャリア,人材派遣,3,＜営業・販売・オフィスワーク・ITを主軸とした総合人材サービス会社＞■人材派遣事業■求人広告事業■キャリアアップ支援事業労働者派遣事業（派-23-301890）,愛知県名古屋市中村区平池町4-60-12 グローバルゲート12F,2017,,822,"4,000万円",30.1,http://exceedcareer.co.jp/,取締役社長 中園 康裕
2024-07-01,株式会社エス・エス・シービジネスサポート,人材派遣,1,■事業内容： 情報処理システムの提案・構築・保守・運用支援／労働者派遣事業／有料職業紹介事業／DX導入支援事業／採用アウトソーシング事業,東京都千代田区富士見1-6-1フジビュータワー飯田橋1005,2017,,3,20百万円,34.0,https://sscbs.co.jp/,
2024-07-01,ＢＰＯテクノロジー株式会社,アウトソーシング,2,オンラインアシスタントサービス「フジ子さん」のサービス運営【取引先】国内外の上場企業から中小企業、医療機関、国公立大学 など,東京都中央区銀座6-14-8,2017,,400,4995万円,30.0,https://bpo-tech.co.jp/,代表取締役社長 山田 真也
2024-08-01,株式会社クオレガ,人材紹介・職業紹介,6,■事業内容：『食』×『人材』×『IT』を基軸としたHRコンサルティング・採用DXプラットフォームを展開しています。人材紹介・自社メディア事業を筆頭にヘッドハンティング、採用コンサルティング、新卒採用支援、海外人材支援、採用アイテム作成を事業展開しており成長を続けています。,東京都港区新橋1-10-6新橋M-SQUARE11F,2017,,100,24百万円,28.0,https://cuolega.co.jp/,
2024-08-01,株式会社アスタイム,求人サイト・求人メディア,1,求人広告代理店 ／ アルバイト・パート・中途社員採用に向けたメディア掲載の提案をはじめ、東葛エリアを中心とした千葉県で 事業展開する企業に向けた人材採用コンサルティング。,千葉県柏市柏７-10-17,2017,,4,350万円,37.0,"Failed to retrieve page, status code: 410",代表取締役 米地 博
2024-08-01,九人ホールディングス株式会社,総合広告代理店,無,求人広告代理店事業、有料職業紹介業40-ユ-300981、その他採用支援事業 2024年7月doda掲載求人より引用,福岡県福岡市博多区博多駅南1-11-27ＡＳ－ＯＦＦＩＣＥ博多,2017,,,5 百万円,,"Failed to retrieve page, status code: 410",代表取締役 佐久間 隆弘
2024-08-01,クライアントファースト株式会社,アウトソーシング,2,採用コンサルティング業務 ・人材採用戦略の企画、立案 ・各種求人広告の企画、制作、出稿 ・採用サイト、パンフレット等の企画、制作 ・採用代行業務,東京都新宿区新宿4-3-25 TOKYU REIT 新宿ビル4F,2017,,,800万円,28.0,https://c-1st.jp/,代表取締役 樋口 寛之
