更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,上場市場名,平均年齢,従業員数,資本金,企業URL
2024-08-01,株式会社伸和社,ブライダル・ウェディング,求人なし,,京都府京都市山科区小野鐘付田町102-2,1987,代表取締役 奥園 信茂,,,,17 百万円,
2024-08-01,マルキチ商事有限会社,ブライダル・ウェディング,求人なし,,愛知県豊橋市つつじが丘3-36-4,1969,代表取締役 鈴木 克典,,,,10 百万円,
2024-08-01,株式会社中原屋,葬儀,求人なし,,神奈川県川崎市幸区南幸町1-53,1969,代表取締役 原 敏之,,,,10 百万円,
2024-08-01,株式会社神東社,ブライダル・ウェディング,求人なし,,兵庫県神戸市中央区神若通2-2-6,1952,代表取締役 酒井 優城,,,,60 百万円,
2024-08-01,株式会社ブレス,ブライダル・ウェディング,求人なし,,愛知県豊橋市柱四番町14-1,1973,代表取締役 大林 和加奈,,,,20 百万円,
2024-08-01,有限会社丸金横江仏具店,葬儀,求人なし,,愛知県豊橋市新本町134,1982,代表取締役 横江 邦洋,,,,8 百万円,
2024-08-01,株式会社ベルクリエイト,ブライダル・ウェディング,求人なし,,愛知県豊橋市羽田町64,1974,代表取締役 鈴木 正憲,,,,10 百万円,
2024-08-01,株式会社ファンテックス,ブライダル・ウェディング,無,,愛知県豊橋市鴨田町50,1985,代表取締役 内藤 欣哉,,,,10 百万円,
2024-08-01,株式会社レクスト関西,葬儀,求人なし,,大阪府大阪市浪速区戎本町1-7-23,1968,代表取締役 谷川 健男,,,,90 百万円,
2024-08-01,株式会社フェム,ブライダル・ウェディング,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■結婚披露宴及びセレモニーの演出企画・制作に関する業務■ブライダルプロデュース業務■音楽著作物の企画・制作に関する業務■イベントの企画・制作・運営に関する業務■音響、照明システム企画施行・オペレーション業務■ビデオ撮影・映像制作業務■契約先企業のアウトソーシングに関する業務■放送・業務用映像関連機器の販売・レンタル 2023年8月doda掲載求人より引用,東京都新宿区高田馬場1-1-13ワンルーフフラット西早稲田 301,1987,代表取締役社長 藤田 誠,,,,10 百万円,
2024-08-01,有限会社千代屋,ブライダル・ウェディング,求人なし,,京都府宮津市字住吉1816,1952,代表取締役 竹原 博史,,,,20 百万円,
2024-08-01,株式会社シャー,ブライダル・ウェディング,求人なし,,大阪府大阪市浪速区大国2-4-6,1989,代表取締役 謝 建平,,,,10 百万円,
2024-08-01,株式会社冠婚葬祭こころの会,ブライダル・ウェディング,求人なし,,兵庫県姫路市広畑区高浜町2-29-2,1988,代表取締役 山田 剛,,,,17 百万円,
2024-08-01,有限会社塚本葬儀社,葬儀,求人なし,,山口県長門市油谷河原1251-1,1987,代表取締役 塚本 真之亮,,,,10 百万円,
2024-08-01,株式会社東京総合葬祭,ブライダル・ウェディング,求人なし,,東京都新宿区信濃町11,1985,代表取締役 花田 好夫,,,,10 百万円,
2024-08-01,有限会社城陽葬祭杉村,葬儀,求人なし,,京都府城陽市久世南垣内116,1979,取締役 杉村 等,,,,3 百万円,
2024-08-01,株式会社レッジーナミラ,ブライダル・ウェディング,求人なし,,兵庫県神戸市中央区北野町3-10-1,1990,代表取締役 蓑畑 富伸,,,,10 百万円,
2024-08-01,公益社団法人日本テニス事業協会,ブライダル・ウェディング,求人なし,,東京都千代田区神田錦町1-10-1サクラビル 4Ｆ,1992,代表理事 大久保 清一,,,,,
2024-08-01,株式会社レクスト三河,ブライダル・ウェディング,無,,愛知県岡崎市広幡町7-6,1970,代表取締役 金森 茂明,,,,40 百万円,
2024-08-01,株式会社現丸屋,ブライダル・ウェディング,求人なし,,京都府綴喜郡井手町大字井手小字柏原83-2,1948,代表取締役 小川 保善,,,,10 百万円,
2024-08-01,株式会社飛鳥典禮,葬儀,求人なし,,神奈川県川崎市麻生区上麻生6-30-10,1978,代表取締役 真鍋 康行,,,,15 百万円,
2024-08-01,株式会社１１７,ブライダル・ウェディング,求人なし,,兵庫県姫路市古二Ｆ町63,1974,代表取締役 山下 裕史,,,,50 百万円,
2024-08-01,株式会社東衣装店,ブライダル・ウェディング,求人なし,,東京都新宿区揚場町2-21東ビル,1948,代表取締役 清水 尚,,,,75 百万円,
2024-08-01,帝都典禮株式会社,葬儀,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■葬儀・法要を中心とした葬式・葬祭事業■会館・セレモニーホールの運営 2022年6月doda掲載求人より引用,東京都新宿区新宿2-16-6新宿イーストスクエアビル 5Ｆ,1946,代表取締役 星野 良太,,,,60 百万円,
