更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-06-01,松田機械工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業概要：同社は日本で2社しかないこんにゃくを製造する機械のメーカーです。長年の実績があり、シェアは半数を超えています。また、ボイル・冷却槽の事業でも大手飲食業にも採用されており、今後の拡大を見込んでいます。そのほかには、包装機械事業においても、固定物から水物や野菜梱包のための薄い包装物まで、幅広い製品の包装に対応できる高い製品力を誇っています。,大阪府大阪市此花区島屋4-2-48,1947,22,340百万円,47.0,http://www.matsuda-kikai.jp/,,
2024-08-01,IMAX株式会社,機械部品・金型メーカー,3,■事業内容：アルミサッシ用プレス金型の設計製作専用卓上加工機及び周辺運搬挿入装置設計製作,愛知県名古屋市南区塩屋町3-13,1968,20,45百万円,45.0,"Failed to retrieve page, status code: 410",,
2024-06-01,阿蘇工業株式会社,受託加工業（各種加工・表面処理）,3,■事業内容： 阿蘇工業とは創業53年、ものづくり業界をバフ研磨の技術で支えてきた会社です。さまざまな製作所様や個人様よりバフ研磨のご依頼をいただいております。消費者に見える部品の大切な工程だからこそ、機械ではなく職人の手で慎重に、これからも1部品ごとに想いを込めてピカピカに仕上げます。見た目を綺麗に整えたい方、金型のパーティングによるバリの発生でお困りの方など、部品１つから量産まで承りますので、お気軽にお問い合わせください。,神奈川県横浜市泉区岡津町2259,1969,48,16百万円,,https://aso-kk.co.jp/,,
2024-08-01,山清工業株式会社,自動車部品メーカー,7,■事業内容： 1938年の創業、グループ従業員数2000名超、国内外の展開で高収益を実現している自動車部品・配管メーカーです。織機用革製品の製作から始まり、油圧ホースを経て、その安全性・技術を応用して、様々な加工技術を生み出してきました。自動車用油圧パワーステアリング用配管を主力製品とし、ランドクルーザーやハイエースの油圧配管ではほぼ100％同社の製品が搭載されています。,愛知県名古屋市南区元鳴尾町22,1984,387,80百万円,42.0,http://www.yamaseikogyo.co.jp,,
2024-08-01,株式会社名南工機,機械部品・金型メーカー,2,【事業内容】 ■鍛造機のダイホルダ（ボルスタ）の設計、製作・4本丸柱ガイドポストのカセットタイプボルスタ開発 ■金型の加工・角型金型 ■鍛造設備関連：・ダイホルダの油圧クランプ化設計、施工 ・段替台車の設計、製作 ・ボルスタ反転機の設計、製作 ・材料挿入機の設計、製作 ・加熱材のデスケール装置設計、製作,愛知県名古屋市南区柴田町1-6,1952,30,10百万円,,なし,,
2024-07-01,進栄電子株式会社,電子部品メーカー,1,電子回路機器の開発設計・製造等を中心に請け負う会社として事業運営しております。■事業概要：・電子回路機器の開発設計・製造・自社開発商品の販売└防犯・防災機器、光、音響応用機器 等・受託設計（OEM、ODM）等■開発製品の例：・住宅用制御ユニット・各種センサー・LED防犯灯・ソーラー関連商品・自発光道路標識・ラジコン商品 等■LED南伊勢町役場コラボ商品：非常用LED照明灯の導入に全国的にも早くから取り組み出した南伊勢町と協力し、停電時もバックアップ電源搭載で安心の「安心灯」を開発いたしました。■提携会社：・株式会社キクテック・日本エコテック株式会社,三重県松阪市笠松町380,1976,46,60百万円,,http://shinyei-jp.com/,,
2024-07-01,小西咲株式会社,建設機械・その他輸送機器メーカー,1,■事業内容：特殊機械や鋼構造物の設計・製作・据付施工メーカー,大阪府吹田市幸町11-1,1966,140,20百万円,42.8,http://www.konishisaku.co.jp/,,
2024-06-01,常陽工学株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■企業概要：フレキシブルディスプレイ、メディカルデバイス、液晶パネル、有機EL、太陽電池等のための関連製造装置を製造しています。,神奈川県横浜市青葉区荏田西1-5-12,1974,20,25百万円,,http://www.joyo-eng.co.jp/index.html,,
2024-08-01,岡田工業株式会社,機械部品・金型メーカー,4,■事業内容： 精密型打鍛造・各種熱処理／型製作及び切削機械加加／冷間サイジング加加／鍛工品の製造販売,愛知県名古屋市南区塩屋町2-1,1938,137,100百万円,38.0,https://www.okadakogyo.jp/,,
2024-08-01,株式会社チップトン,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,18,唯一無二の技術力を磨き続ける。～バレル研磨のリーディングカンパニーとして発明と開発に情熱を注ぎ、明日へ挑戦し続ける企業です～■事業内容：バレル研磨事業を主軸として、これまで培った技術を応用・転用し、セラミック担体、コーティング装置、医薬用装置、研削砥石等、多様な領域へ事業展開を進めています。時代や社会の変化の中でも安定した経営基盤を有し、バレル研磨製品は国内シェア65％以上、石油精製・石油化学向け充填剤は国内シェア70％以上のトップクラスを誇っています。,愛知県名古屋市南区豊田3-19-21,1939,200,100百万円,40.0,https://www.tipton.co.jp/,,
