更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,古河電子株式会社,半導体メーカー,求人なし,,福島県いわき市好間町上好間字小館20,2005,187,300 百万円,,,代表取締役 玉利 健一郎,
2024-08-01,フォルボ・ジークリング・ジャパン株式会社,機械部品・金型メーカー,無,,東京都品川区大崎5-10-10大崎ＣＮビル 4Ｆ,1968,186,330 百万円,,,代表取締役 佐藤 守,
2024-08-01,株式会社トライエース,アミューズメント・エンタメ・ゲームメーカー,求人なし,,東京都港区芝3-8-2住友不動産芝公園ファーストビル 7Ｆ,1995,184,50 百万円,,,代表取締役 五反田 義治,
2024-08-01,株式会社南星機械,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,熊本県菊池市泗水町吉富22-1,2006,184,30 百万円,,,代表取締役 草野 隆弘,
2024-08-01,ワッティー株式会社,電子部品メーカー,無,■半導体や医療機器などの産業用ヒーターや装置の設計・開発・製造■成膜装置・受託サービス■ユニット製品、センサ（アナログ)、センサ（スイッチ)の設計・開発・製造 2024年5月doda掲載求人より引用,東京都品川区西五反田7-18-2ワッティー本社ビル,1968,183,95 百万円,,,代表取締役 菅波 希衣子,
2024-08-01,スペクトリス株式会社,計測機器・光学機器・精密機器・分析機器メーカー,無,,神奈川県川崎市川崎区日進町7-1川崎日進町ビルディング 3Ｆ、4Ｆ,1980,183,50 百万円,,,代表取締役 サイモン・イーグル,
2024-08-01,株式会社タイホー,機械部品・金型メーカー,求人なし,,香川県東かがわ市黒羽176,1983,183,25 百万円,,,代表取締役 大森 恒男,
2024-08-01,超音波工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,東京都立川市柏町1-6-1,1956,183,100 百万円,,,代表取締役 唐澤 秀治,
2024-08-01,株式会社マルマエ,半導体メーカー,求人なし,,鹿児島県出水市大野原町2141,1988,183,"1,241 百万円",39.0,,代表取締役社長 前田 俊一,プライム
2024-08-01,ネクサス株式会社,機械部品・金型メーカー,求人なし,,熊本県玉名郡南関町大字下坂下1683-4,1964,182,91 百万円,,,代表取締役 平澤 純一,
2024-08-01,サノヤス・エンジニアリング株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,大阪府大阪市住之江区北加賀屋5-2-7,1986,182,35 百万円,,,代表取締役 西山 昌宏,
2024-08-01,日鉄レールウェイテクノス株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,大阪府大阪市此花区島屋5-1-109日本製鉄（株）関西製鉄所製鋼所地区内,1984,181,310 百万円,,,代表取締役 谷元 伸孝,
2024-08-01,株式会社マースエンジニアリング,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,東京都新宿区新宿1-10-7,2018,181,480 百万円,,,代表取締役社長 江藤 征弘,
2024-08-01,ニシハツ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,佐賀県唐津市千々賀140,1963,180,50 百万円,,,代表取締役 野中 美智夫,
2024-08-01,日軽金ＡＬＭＯ株式会社,自動車部品メーカー,求人なし,,東京都港区新橋1-1-13アーバンネット内幸町,1987,180,450 百万円,,,代表取締役 畑本 敏治,
2024-08-01,ユニオンマシナリ株式会社,電子部品メーカー,求人なし,,神奈川県相模原市中央区上溝1936-19,1975,180,82 百万円,,,代表取締役 山田 秀明,
2024-08-01,株式会社リケンブラザー精密工業,機械部品・金型メーカー,求人なし,,愛知県知立市谷田町北屋下48,2017,180,90 百万円,,,代表取締役 佐久間 一久,
2024-08-01,東海理化Ｓｍａｒｔ　Ｃｒａｆｔ株式会社,自動車部品メーカー,求人なし,,愛知県丹羽郡大口町豊田3-260,1991,178,30 百万円,,,代表取締役 直井 滋樹,
2024-08-01,株式会社ニップラ,機械部品・金型メーカー,求人なし,,広島県広島市安芸区船越南1-6-1,1975,178,50 百万円,,,代表取締役 成瀬 敏男,
2024-08-01,信和精工株式会社,自動車部品メーカー,求人なし,,滋賀県高島市新旭町新庄1288-1,1962,178,328 百万円,,,代表取締役 山﨑 寬明,
2024-08-01,会津コスモス電機株式会社,電子部品メーカー,求人なし,,福島県会津若松市門田町工業団地35,1961,177,192 百万円,,,代表取締役 吉田 徹,
2024-08-01,プライミクス株式会社,機械部品・金型メーカー,求人なし,,兵庫県淡路市夢舞台1-38,1949,177,80 百万円,,,代表取締役 野口 隆行,
2024-08-01,オーエスジーコーティングサービス株式会社,受託加工業（各種加工・表面処理）,求人なし,,愛知県新城市有海字丸山1-2,2001,177,100 百万円,,,代表取締役 彦坂 光義,
2024-08-01,ゼブラ電子株式会社,電子部品メーカー,求人なし,,栃木県大田原市若草1-1475,1967,175,100 百万円,,,代表取締役 小野 有理,
2024-08-01,株式会社門倉剪断工業,受託加工業（各種加工・表面処理）,求人なし,,福岡県鞍手郡鞍手町大字木月2037-4,1971,175,99 百万円,,,代表取締役 門倉 洋平,
2024-08-01,株式会社スイデン,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,無,,大阪府大阪市天王寺区逢阪2-4-24,1961,175,367 百万円,,,代表取締役 川合 雄治,
2024-08-01,パーカー熱処理工業株式会社,電子部品メーカー,求人なし,,東京都中央区日本橋2-16-8第2パーカービル 8Ｆ,1956,174,324 百万円,,,代表取締役 渡邊 正高,
2024-08-01,富士航空電子株式会社,機械部品・金型メーカー,無,,山梨県上野原市上野原8154-35,1988,174,300 百万円,,,代表取締役 牛嶋 克磨,
2024-08-01,ＭＨＩエアロエンジンサービス株式会社,建設機械・その他輸送機器メーカー,求人なし,,愛知県小牧市大字東田中1200三菱重工業（株） 名古屋誘導推進システム製作所内,1991,173,100 百万円,,,代表取締役 吉村 巌,
2024-08-01,株式会社リテラ,自動車部品メーカー,求人なし,,埼玉県秩父郡小鹿野町両神薄2703,1977,172,90 百万円,,,代表取締役 秋山 博之,
2024-08-01,株式会社キーテック,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,東京都江東区新木場1-7-22新木場タワー 8Ｆ,1958,172,268 百万円,,,代表取締役 中西 宏一,
2024-08-01,株式会社平河工業社,計測機器・光学機器・精密機器・分析機器メーカー,無,,東京都新宿区新小川町3-9,1953,171,293 百万円,,,代表取締役 和田 淳子,
2024-08-01,株式会社ホリキリ,自動車部品メーカー,求人なし,,千葉県八千代市上高野1827-4,1936,171,375 百万円,,,代表取締役社長 関 幸裕,
2024-08-01,エプソンダイレクト株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,,長野県塩尻市大門八番町1-2塩尻インキュベーションプラザ,1993,171,150 百万円,,,代表取締役 一杉卓志,
2024-08-01,但馬ティエスケイ株式会社,自動車部品メーカー,求人なし,,兵庫県豊岡市出石町桐野1150,1973,171,56 百万円,,,代表取締役 沖村 雄一,
2024-08-01,オザワ科学株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,愛知県名古屋市中区錦3-9-22,1950,170,78 百万円,,,代表取締役社長 小澤 大地,
2024-08-01,ハバジット日本株式会社,機械部品・金型メーカー,求人なし,,東京都品川区西五反田3-11-6サンウエスト山手ビル 6Ｆ,1970,170,90 百万円,,,代表取締役 津川 純,
2024-08-01,佐竹マルチミクス株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,埼玉県戸田市大字新曽66,1938,170,90 百万円,,,代表取締役 西岡 光利,
2024-08-01,金山カヤバ株式会社,自動車部品メーカー,求人なし,,岐阜県下呂市金山町戸部4350-130,1970,170,20 百万円,,,代表取締役 地口 愼一,
2024-08-01,甲南電機株式会社,機械部品・金型メーカー,求人なし,,兵庫県西宮市上田東町4-97,1949,169,479 百万円,,,代表取締役 宮内 壽一,
2024-08-01,富士・フォイトハイドロ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,神奈川県川崎市川崎区田辺新田1-1富士電機（株）川崎工場内,1997,169,"1,000 百万円",,,代表取締役社長 傘木 淳二,
2024-08-01,株式会社戸上コントロール,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,佐賀県佐賀市久保泉町大字下和泉3144-1,1977,169,98 百万円,,,代表取締役 中尾 武典,
2024-08-01,富士精密株式会社,機械部品・金型メーカー,求人なし,,東京都府中市宮町1-40府中サウスビル 10Ｆ,1958,169,87 百万円,,,代表取締役 山路 勇,
2024-08-01,ニッコーシ株式会社,受託加工業（各種加工・表面処理）,求人なし,,東京都港区新橋4-6-15日新建物新橋ビル 4Ｆ,1951,168,100 百万円,,,代表取締役 堀之内 英,
