更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,スプレーイングシステムスジャパン合同会社,機械部品・金型メーカー,18,～産業用スプレーノズル及び周辺機器、フル仕様のシステム構築まで豊富な技術力・実績を持つSpraying Technologyの世界的トップメーカー～,東京都品川区東五反田5-10-25,1976,43.0,200,100百万円,http://www.spray.co.jp/,,
2024-07-01,クノールブレムゼ商用車システムジャパン 株式会社,自動車部品メーカー,8,■概要：世界30ヶ国、100ヶ所に拠点を構え、商用車用ブレーキおよび、ブレーキ関連製品を扱う世界最大級のクノールブレムゼグループ（本社：ドイツ、ミュンヘン）の一員として、日本の商用車用ブレーキシステムの開発を担っている会社です。,埼玉県坂戸市にっさい花みず木6-22-1,1996,46.0,283,390百万円,http://www.knorr-bremse.co.jp/ja/,,
2024-08-01,フェデラル・モーグル ジャパン株式会社,自動車部品メーカー,1,【当社について】■前身は米国で設立100年以上の歴史を持つ自動車部品における世界的リーディングサプライヤー米Federal-Mogul社、当社はその日本法人です。2018年10月にTenneco社による買収が完了し、現在はTenneco社のグループ会社となっています。,神奈川県横浜市中区桜木町1-1-8日石横浜ビル18F,2008,41.0,180,200百万円,https://www.tenneco.com/,,
2024-05-01,株式会社共進自動車整備工場,自動車（四輪・二輪）メーカー,1,■事業内容： 自動車の修理・点検整備・車検整備・鈑金塗装等、ラーメン店の経営、不動産賃貸業,神奈川県横須賀市三春町3-4,1976,,44,30百万円,https://www.kyoshin-autoserviceshop.com/,,
2024-08-01,ＥＥＪＡ株式会社,石油化学メーカー,求人なし,,東京都中央区日本橋茅場町2-6-6,1965,,,100 百万円,"Failed to retrieve page, status code: 410",代表取締役 庄司 亨,
2024-08-01,ヤマザキマザックマニュファクチャリング株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■CNC工作機械等の開発・生産・販売・輸出※ヤマザキマザックグループ（グループの詳細は「ヤマザキマザック株式会社」のホームページをご覧ください）＜生産品目＞・ハイブリット複合加工機・マルチタスキングマシン (複合加工機)・5軸加工機、CNC旋盤、CNC装置・立形マシニングセンタ、横形マシニングセンタ・レーザ加工機、自動化システム・CAD/CAMシステム、生産支援ソフトウェア,岐阜県美濃加茂市蜂屋町中蜂屋字山崎333,1919,,1164,8000万円,https://www.mazak.com/jp-ja/about-mazak/production-facilities/,代表取締役社長 山崎 高嗣,
2024-08-01,滋賀三菱自動車販売株式会社,自動車（四輪・二輪）メーカー,7,■事業内容：三菱自動車の販売、中古車の販売、自動車の保守・車検・点検・整備等、部品・用品・オイル・家電等の販売、各種保険代理店業務、輸入車の販売･整備、レンタカー事業■事業所：・新車販売店…滋賀県内6拠店（本社栗東店、大津店、高島店、水口店、近江八幡店、彦根店）・中古車販売店…滋賀県内1拠店（クリーンカー大津）,滋賀県大津市相模町2-48,1964,,141,50百万円,http://www.kmjg.jp,,
2024-08-01,株式会社大進自動車部品商会,自動車（四輪・二輪）メーカー,2,＜企業概要＞・自動車部品卸売業・大手トラック会社4社（日産・日野・三菱・いすず）のディーゼルトラック部品を取り扱っています。・大津・栗東・五個荘・彦根に営業所があり、迅速な部品供給（多品種少ロット）が可能な体制を取っています。,滋賀県彦根市芹川町410,1951,,26,10百万円,なし,,
2024-06-01,京都三菱自動車販売株式会社,自動車（四輪・二輪）メーカー,1,■事業内容：・三菱・メルセデスベンツ・スズキの新車販売／中古車の販売・自動車の保守、車検、点検、整備等・部品、用品、オイル、家電等の販売・損害保険代理業、生命保険の募集に関する業務・輸入車の販売、整備／レンタカー事業,京都府京都市南区西九条菅田町15,1951,,318,100百万円,http://www.kmjg.jp,,
2024-06-01,株式会社アストム,計測機器・光学機器・精密機器・分析機器メーカー,1,■事業概要：当社は「株式会社トクヤマ」と「旭化成株式会社」によって1995年に炭化水素系イオン交換膜の製造合弁会社として設立され、2004年に両社のイオン交換膜・電気透析装置とそのシステムの開発・製造・販売機能を発展的に統合・一体化した総合事業会社です。■事業内容：（1）炭化水素系イオン交換膜「ネオセプタ」の製造、販売（2）円筒型隔膜電極装置「イーディーコア」の製造、販売（3）電気・拡散透析装置「アシライザー」の製造、販売（4）卓上型電気透析装置「マイクロアシライザー」の製造、販売（5）各製品の設計・製造・メンテナンス業務,東京都港区西新橋2-6-2,1995,43.0,94,450百万円,http://www.astom-corp.jp/,,
2024-07-01,滋賀電子株式会社,電子部品メーカー,1,【製造請負事業】◆電子部品の製造◆電子部品の検査◆各種設備の点検業務◆梱包および出荷業務【環境・福利厚生事業】◆厚生施設の管理／社宅・独身寮の管理◆売店・その他物品,滋賀県大津市比叡辻2-1-1,1989,,98,2000万円,https://shiga-denshi.com,代表取締役 西田 哲也,
2024-06-01,フジクラプレシジョン株式会社,電子部品メーカー,1,■事業内容：東証プライム上場・1885年創業の非鉄金属メーカー／FPCと光ファイバーで世界2位・電線国内3位「株式会社フジクラ」の製品の量産を担う株式会社フジクラのグループ会社です。主な事業は下記の通りです。・光通信用精密機器（光ファイバ融着接続機）とその関連工具の製造 ※光ファイバ融着接続機は世界トップシェアです※・産業用精密機器（ファイバレーザ）の製造 ※ファイバレー ザは国内トップシェアです※・自動製造装置、自動検査装置の設計、製作,熊本県山鹿市鹿本町梶屋748,1991,37.0,449,90百万円,http://www.f-precision.fujikura.jp/,,
2024-08-01,ブラザーインダストリアルプリンティング株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■事業内容： 英国ドミノ社の日本総代理店として産業用インクジェットプリンタをはじめとする各種マーキング機器の輸入・販売・アフターサービスの提供,東京都大田区西蒲田8-20-8アゼル3号館,2000,,71,300百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,エスペック株式会社,半導体メーカー,2,■事業概要:環境試験機器の世界トップメーカー（国内シェア60％以上、世界シェア30％以上)環境試験器とは、温度・湿度・圧力・空気組成などの環境因子を単独に、または、組み合わせて人工的にその中に再現することができる容器構造の装置です。■拠点：○大阪本社・福知山工場・宇都宮テクノコンプレックス・神戸R＆Dセンター○営業所／仙台･高崎･つくば･東京･国立･横浜･静岡･名古屋･金沢･大阪･広島･福岡○海外／マレーシア・タイ・中国（上海）○海外工場／アメリカ(ミシガン)・中国(上海･広州）・韓国■2014年3月、経済産業省「グローバルニッチトップ企業100選」に選出。,大阪府大阪市北区天神橋3-5-6,1954,43.1,780,"6,895百万円","Failed to retrieve page, status code: 410",,プライム市場
2024-08-01,株式会社エンプラス研究所,電子部品メーカー,4,■事業内容： エンプラス研究所では、新規材料開発、新規加工技術開発、及び、分析・解析技術開発を柱に取り組んでいます。また、SDGsが掲げているゴールや、AIや自動運転などが可能にする世界からバックキャストしながら、様々な研究開発に取り組んでいます。当社グループの研究開発は、エンプラス研究所と各事業部における開発部門が担っており、約60名で運営されています。日本を中心に大学や企業とともに先端技術の応用に取り組むとともに、アメリカやイギリスのスタートアップ企業などへ実用化に向けたアプローチを行っています。また、当社グループが強みとする製品の形状最適化のためのデータ解析なども行っています。,埼玉県川口市上青木1-19-57,1980,,,,https://www.enplas.co.jp/,,
2024-07-01,株式会社トッパン・テクニカル・デザインセンター,半導体メーカー,25,■概要：トッパン・テクニカル・デザインセンター(TDC)は、凸版印刷(株)のグループ会社として、LSI開発を総合的にコーディネートしています。■事業内容：エレクトロニクスに関するシステム開発、LSIデザイン及びターンキーサービス■詳細：社員のほとんどがエンジニアであり、デジタル/アナログ/メモリ等のLSIに関わる様々な技術をベースにLSIの開発設計を遂行する技術者集団です。(1)LSI開発(汎用/カスタム) (2)ソフトウェア開発(アプリケーション/ファーム/OS)(3)プリント基板設計製造 (4)各種の機器に関する企画/開発支援/コンサルティング,東京都台東区台東1-5-1,1989,,196,490百万円,http://www.toptdc.com/,,
2024-08-01,株式会社バルカーシールソリューションズ,機械部品・金型メーカー,4,■事業内容： 産業機器・化学・機械・エネルギー・通信機器・半導体・自動車・宇宙産業・航空産業など、あらゆる産業向けに、ふっ素樹脂製品や高機能ゴムなど各種素材製品を設計・製造・加工および販売をしています。当社は東証一部上場企業の株式会社バルカーの製造子会社です。当工場では、特に世界トップクラスのシェアを誇る半導体製造装置用シール材（液体の漏れを防ぐためのゴム製品等）を製造しております。,奈良県五條市住川町テクノパーク・なら工業団地5-2,2002,,150,90百万円,http://www.valqua.co.jp/,,
2024-06-01,熊本三菱自動車販売株式会社,自動車（四輪・二輪）メーカー,3,■事業内容：・三菱自動車、スズキ自動車などの新車販売・国内全メーカー中古車販売、買取・自動車部品販売、自動車修理加工・保険代理業、自家用自動車のリースおよびレンタカー業,熊本県熊本市南区平田2-1-57,1968,,133,65百万円,なし,,
2024-08-01,富士フイルムエレクトロニクスマテリアルズ株式会社,半導体メーカー,27,【事業概要】■半導体製造用フォトレジスト製品の製造・販売■イメージセンサー用材料の製造・販売■薄膜形成材料製品の製造・販売■フォトマスク用レジスト製品の製造・販売■感光性・非感光性ポリイミド製品の製造・販売,神奈川県横浜市港北区新横浜3-9-18新横浜TECHビル,1983,41.6,419,490百万円,https://www.fujifilm.com/ffem/ja,,
