更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-08-01,株式会社須藤電機製作所,機械部品・金型メーカー,4,公共インフラ施設、ビル、工場などの大規模設備に向けたオーダーメイドの「受配電盤」や「制御盤」を製作しております。提案→設計→製造→現地試験まで一貫して請け負っております。,東京都港区芝浦3-11-13SUDO BLD6F,1923,40.0,53,70百万円,http://www.sudo-ew.co.jp/index.html,,
2024-06-01,株式会社丸山製作所,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容：全自動軟水機、全自動濾過装置、脱気装置、給水ポンプ、ステンレスポンプ、砲金製ポンプ、高温給水ポンプ、ダイヤフラムポンプ、複合清缶剤、その他薬品、他の生産販売,東京都新宿区西新宿6-3-1新宿アイランドウイング8F,1956,,100,10百万円,http://www.maruyama-mfg.co.jp/,,
2024-08-01,新光電子株式会社,計測機器・光学機器・精密機器・分析機器メーカー,8,■事業内容： 同社は世界唯一の音叉式センサを搭載した電子天びん・本質防爆はかり・各種はかりのメーカーです。創業以来約60年、電子個数はかりをはじめ、調剤用天びん・本質安全防爆構造型はかりや各種物流測定装置、音叉式センサを搭載した高精度電子てんびんなど、つねに先進性とオリジナリティを追求して、計量･計測機器の分野で数多くの製品を生み出し、日本初・世界初の製品も数多く送り出してきました。その品質や技術は、国内外から高く評価されています。,東京都板橋区板橋1-52-1,1963,43.0,130,50百万円,http://www.vibra.co.jp/,,
2024-07-01,株式会社弘輝,電子部品メーカー,3,■事業内容：はんだ付関連電子材料の製造販売■事業の特徴：同社は、すべての顧客に満足してもらえる製品・サービスを提供することを最重要事項と考え、常に多様化する市場のニーズを捉え、製品の研究開発・高品質な製品の提供、さらには顧客の抱えている問題、不良について提案、分析・解析を行いサービスの向上に努めてきました。顧客のグローバルなビジネス展開に対しても、海外に製造拠点を置くことで製品をより短納期で、高品質な製品を届けます。今後は、新技術へのあくなき挑戦をモットーに、更なる市場の発展と創造を追求し、顧客へのトータルソリューションを提供していきます。,東京都足立区千住旭町32-1,1964,42.0,141,60百万円,https://www.ko-ki.co.jp/,,
2024-08-01,坂口電熱株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容：電熱技術を中心に真空・バイオ・光学・化学分野の製品開発と電熱機器の製造・販売,東京都千代田区外神田1-12-2,1923,45.0,150,100百万円,http://www.sakaguchi.com,,
2024-08-01,株式会社アロン社,機械部品・金型メーカー,6,ALONEの語源はALL＝ONE当社は独力で開発に取り組み、常に技術の先端を担うことを目標にたゆまぬ技術研鑽に努めています。『お客様の夢を現実に！』独自技術で未来を開きます。■事業内容：フォトエッチング加工及び拡散接合技術（精密3Ｄ製品）をベースにした電気・電子・精密部品／ガラスロータリーエンコーダディスク／ガラスリニアスケール／その他精密製品の製造と販売,東京都港区芝2-5-22,1958,44.0,123,140百万円,https://www.alone.co.jp/,,
2024-07-01,オグラ宝石精機工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,ダイヤモンド・ルビー・サファイア・セラミック・超硬合金などの硬さを活かしたナノレベルの超精密加工が弊社の強みです。創業127年の歴史に裏付けされた高い技術力で、国内外の自動車・家電・ハイテク機器産業における「最先端の物づくり」を支える会社です。,東京都大田区大森北5-7-12,1938,45.8,220,50百万円,http://www.ogura-indus.co.jp/,,
2024-07-01,株式会社キンレイ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容：電線製造機械の設計・製造・販売,東京都港区芝2-29-13KINREI-BLDG.,1947,39.0,76,49百万円,https://kinrei.co.jp/,,
2024-08-01,東京エレクトロン株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,75,■事業内容：半導体製造装置事業、フラットパネルディスプレイ製造装置事業,東京都港区赤坂5-3-1赤坂Bizタワー,1963,44.4,13846,"54,961百万円",http://www.tel.co.jp/index.htm,プライム市場,
2024-08-01,電元社トーア株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,12,■事業内容： 各種電気抵抗溶接機の製造販売自動車・家電・製鉄・通信機器など製造業向けにスポット溶接機をはじめとする各種溶接機を提供,神奈川県川崎市多摩区枡形1-23-1,1951,45.7,370,100百万円,http://www.dengenshatoa.co.jp/,,
2024-08-01,株式会社 東京精密,計測機器・光学機器・精密機器・分析機器メーカー,37,【半導体製造装置事業】半導体社は、従来のウェーハ製造分野及び、テスト分野、後工程分野でのシェアは世界トップクラス。CMP 装置、グラインダ装置、ダイシング装置などの加工装置も最先端の技術とサポートによりお客様の要望に応えます。【精密測定機器事業】計測社は、世界の自動車産業・工作機械・航空機等、あらゆる産業界において、当社の「高精度精密測定機器」は、精密測定室あるいは機械加工ラインで用いられており、ものづくりの品質保証には欠かせないものです。世界最高レベルの高精度・高速・耐環境性精密測定器でお客様のものづくりに貢献。,東京都八王子市石川町2968-2,1949,39.6,1054,"11,064百万円",http://www.accretech.com/,プライム市場,
2024-08-01,タニコー株式会社,機械部品・金型メーカー,19,■事業内容業務用厨房機器及び関連機器各種（ガスレンジ、ガステーブル、IHコンロ、スチームコンベクションオーブン、コンベクションオーブン、高速オーブン、中華レンジ、ゆで麺器、フライヤー、焼物器、ベーキングオーブン、シンク、調理台、作業台、食器洗浄機、食器消毒保管庫、冷蔵庫、冷凍庫）、移動型・据置型ステンレスタンク、ポルカプレート、排水枡・側溝、システムキッチンの製造、販売、設計、施工、及び海外厨房機器の輸入販売,東京都品川区戸越1-7-20タニコー戸越台ビル,1964,46.0,1461,520百万円,https://www.tanico.co.jp/,,
2024-07-01,昭和飛行機工業株式会社,建設機械・その他輸送機器メーカー,3,■事業内容： ・生活支援機器の製造・販売・航空機機装品及び軽合金構造物の製造・販売・ハニカム及びその加工品の製造・販売・汎用コンテナ、輸送支援機材全般,東京都昭島市代官山3-1-1,1937,,370,100百万円,https://www.showa-aircraft.co.jp/,,
2024-07-01,神津精機株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容： 精密位置決め機器・光学測定機器・各種試験機・精密機器部品等の設計、製造、販売 ■事業詳細：オンリーワンの技術を持つ精密位置決め装置のメーカー神津精機は実験研究機器や産業用精密機器の分野において、国内外で高いシェアを誇る精密機器の会社です。最近では、超微細物質の調査研究や、半導体ウェハー検査装置の開発を目的とした精密機器にスポットを当てています。,神奈川県川崎市麻生区栗木2-6-15,1957,42.5,130,99百万円,https://www.kohzu.co.jp/i/,,
2024-07-01,リケン工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,1,■事業内容： 高炉や転炉、電気炉をはじめ二次精錬、連続鋳造までの温度・成分計測、電気計装、制御及びその関連する業務,東京都千代田区岩本町3-11-9,1966,,59,10百万円,http://rikenkogyo.co.jp/,,
2024-08-01,サトーホールディングス株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,27,【自動認識技術をつかった商品の開発・ソリューションの開発・インテグレーションを一気通貫で行う世界で唯一の企業です】二次元バーコードや、ラベル、それらを読み取る自動認識システムを総合的に提案しているメーカーです。国内に留まらず、世界27カ国に拠点を持ち90を超える国々でビジネスを展開するグローバル企業です。,東京都港区芝浦3-1-1msb Tamachi田町ステーションタワーN,1951,44.2,5637,"8,400百万円",http://www.sato.co.jp/,プライム市場,
2024-07-01,株式会社太陽機械製作所,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容：ビジネスフォーム印刷機・コレーター・シールラベル印刷機・カード印刷機・その他各種特殊印刷機・特殊紙加工機の設計・開発・製造・販売および付帯サービス,東京都大田区羽田空港1-8-2羽田メンテナンスセンター4F,1961,48.1,220,69百万円,https://www.taiyo-kikai.co.jp/,,
2024-06-01,日本電子工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容：日本電子工業は、昭和32年に世界的な電子顕微鏡メーカー日本電子株式会社を母体に創業されました。高周波熱処理技術を通して自動車産業をはじめ、あらゆる機械産業にまたがる需要家のニーズに応え、長年にわたり産業界の発展に貢献しています。,神奈川県相模原市中央区中央3-14-7,1957,37.1,152,119百万円,http://www.ndkinc.co.jp/,,
2024-08-01,応用光研工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,4,■事業内容：事業内容は下記です。(1)放射線測定用シンチレータの開発・製造・販売(2)放射線測定機器の開発・製造・販売(3)各種合成光学結晶の開発・製造・販売(4)高精度光学製品並びに多層薄膜光学製品の開発・製造・販売,東京都福生市熊川1642-26,1963,45.0,59,30百万円,http://www.oken.co.jp/web_oken/indexjp.htm,,
2024-06-01,ユニオンツール株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容：プリント配線板用超硬ドリル、直線運動軸受、エンドミル、測定機器などの製造と販売を行っています。同社は、1961年に国産第一号として、歯科用カーバイドバー製造からスタートし、1963年にプリント配線板用超硬ドリルを開発・販売、その後次々と新製品を開発し現在に至ります。プリント配線板用超硬ドリルの分野で国内・世界シェアトップであり、納入先は大手メーカー各社になります。,東京都品川区南大井6-17-1,1960,41.0,852,"2,998百万円","Failed to retrieve page, status code: 410",プライム市場,
