更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-07-01,ジャパンベビーバス株式会社,Webサービス・Webメディア（EC・ポータル・ソーシャル）,1,子供向けの教育コンテンツ制作（動画・アプリ・絵本・グッズ等）★世界的な人気を誇る『BabyBus』の日本子会社！★「知育」「生活習慣」「ルール」「防災」「職業教育」など 様々なテーマのデジタルコンテンツを現在12ヶ国語で展開中,東京都中央区日本橋人形町2丁目25-15MS日本橋ビル10階,2018,32.0,,3000万円,https://www.babybus.co.jp/,代表取締役社長 丁 強,
2024-07-01,株式会社ＪＯＲＯ,ゲーム（オンライン・ソーシャル）,3,■事業内容： モバイルゲームを中心としたゲームの自社開発を行っています。2021年9月リリース：『コードギアス Genesic Re;CODE』公式サイト（https://geass-gr.jp/）・ゲーム紹介映像（https://www.youtube.com/watch?v=qvokBM9eeWU）■ビジョン： 「JORO」の社名の由来は、植物に水をかけるために用いられるジョーロ。あらゆる種に、自分たちしか創れない価値をプラスしていくことで、可能性は無限大に広がっていく。私たちが大切にしていることです。,"東京都墨田区亀沢1-9-7SPビル2F,3F",2018,33.0,30,500百万円,http://www.joro.co.jp/,,
2024-07-01,株式会社Ｄｉｒｅｃｔ　Ｔｅｃｈ,Webマーケティング（広告代理店・コンサルティング・制作）,4,■企業概要：「PR発想のブランディング」と「テクノロジーによるコンテンツデリバリー」を武器に、ブランド・商品の企画開発・製造からコミュニケーション、販売・物流に至るまでスピーディにD2Cブランドを展開していくビジネスカンパニーです。豊富なD2C実績と保有データに基づき、世の中のトレンドを捉えた世界観をプロデュースし、独自のプロダクトを展開するとともに、D2C事業で蓄積された知見をクライアント企業に提供していくコミュニケーションエージェンシー機能も兼ね備え、クライアントのビジネスを成功に導いて参ります。,東京都港区赤坂4-15-1赤坂ガーデンシティ17F,2018,,23,130百万円,https://direct-tech.jp/,,
2024-06-01,株式会社会心のいちげき,広告制作,1,【株式会社アスクラストの100％子会社】■各種コンテンツ制作（営業提案パンフレット／広報誌／チラシ／Webなど）■DMサービス■業界関連ニュース収集■全国地方自治体補助金調査■広報コンサルティング（広報・宣伝部立ち上げ支援）,大阪府大阪市淀川区宮原1-2-6 新大阪橋本ビル9階,2018,,,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010406276/: 'NoneType' object has no attribute 'get',代表 荒川 源,
2024-08-01,株式会社朝日PRセンター,広告制作,5,■2018年12月にホールディングス化■事業内容：（1）広告事業…マーケティング、クリエイティブ、デジタルマーケティング、PR・広報、メディアプランニング、プロモーション、コンサルティング,東京都板橋区大山町20-4スクウェアビル,1987,37.0,36,10百万円,https://www.asahiprc.co.jp/index.html,,
2024-06-01,ロックスタ株式会社,Webマーケティング（広告代理店・コンサルティング・制作）,3,■企業概要：当社は、設立間もなく年商3億円、2年目にして年商6億円を突破した、収益性の高さが強みのWebマーケティングベンチャーです。インターネットを軸に、マーケティングノウハウを駆使し事業を拡大させています。,東京都中央区東日本橋2-15-4PMO東日本橋3F,2018,30.0,25,,https://rocst.net/,,
2024-08-01,株式会社ｅｓｔｉｅ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,4,■estieとは：当社は、これまでグロービス・キャピタル・パートナーズ、東京大学エッジキャピタルパートナーズおよびグローバル・ブレインより約14億円のエクイティ調達、金融機関より16億円のデット調達（融資枠含む）を行い、累計調達額は約30億円となりました。これらの調達を基に、商業用不動産業界のユーザーに向け最高の顧客体験を届けることを目的としたWhole Product構想の早期実現に挑み、商業用不動産業界のデジタルシフトを更に推進することで、日本経済の発展へ貢献してまいります。,東京都港区赤坂9-7-2東京ミッドタウン・イースト 4F,2018,,,100百万円,https://www.estie.jp/,,
2024-08-01,合同会社アクレレックジャパン,Webサービス・Webメディア（EC・ポータル・ソーシャル）,1,■事業内容：外食、小売り店舗向けITシステム■事業の特徴：フランスに本社があるグローバル企業の日本支社として、2020年よりグローリー株式会社グループの一員となりました。常に最新のテクノロジーを活用した店舗システムの開発を行っており、飲食業界・小売業界のお客様向け店舗ソリューションの開発、生産、販売、サービスを提供。主力のKIOSK端末はファーストフード店を中心に全世界で約8万台が稼働しています。,東京都新宿区西新宿1-25-1新宿センタービル49F＋OURS,2018,,15,"1,000百万円",https://www.acrelec.com/ja/,,
2024-07-01,株式会社メディアグロース,Webマーケティング（広告代理店・コンサルティング・制作）,1,■SEOコンサルティング■記事制作■オウンドメディア運用代行■自社メディア運営■宅配買取事業（東京都公安委員会第304362318244号）,東京都新宿区西新宿6丁目16-6 新宿タツミビル1102,2018,,7,,https://media-growth.co.jp/,代表取締役 舟崎 友貴,
2024-08-01,株式会社マプリィ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,6,■事業内容： GISアプリケーションの開発、LiDAR製品の開発,兵庫県丹波市春日町多田165,2019,30.0,31,190百万円,https://mapry.co.jp/,,
2024-07-01,株式会社IMAGICA IRIS,総合広告代理店,8,■事業内容：・映像、グラフィックの企画および制作／各種マーケティング業務、メディア運営・ソフトウェアやアプリケーションの企画、開発、販売・携帯電話やインターネット等を利用した情報提供サービス業務、並びに各種コンテンツの企画および制作・通信販売業、広告代理業／キャラクター商品の企画、制作、販売／各種イベントの企画および制作,東京都渋谷区恵比寿南3-9-7,2019,36.0,27,80百万円,https://imagica-iris.co.jp,,
2024-08-01,株式会社Ｓｅｉｂｉｉ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,6,【会社概要】私たちは、約20兆円と言われる巨大な自動車のアフターマーケット市場にテクノロジーを持ち込むことで、レガシー産業を改革し新しい価値を生み出すことを目指すスタートアップです。自動車1台当たりの乗車年数は伸びているものの、整備士の数は減っているなど、業界のうねりが発生しているにもかかわらず、業界としてのデジタル化やネット化が進んでいないのが現状です。そんな業界を変革すべく事業を展開しています。,東京都港区六本木3-1-17,2019,,47,100百万円,https://seibii.co.jp/corporate,,
2024-08-01,株式会社ＩＮＣＥＰＴＩＯＮ,総合広告代理店,3,■事業内容： 求人広告の総合代理店（取り扱い媒体／バイトル・doda・マイナビ・type等）※「正社員」「アルバイト」領域の採用課題を抱える企業様に人材採用のトータルサポートを行っております。■ビジョン： 「どこよりも選ばれる関西No.1の広告代理店になる！！」インセプションとは“はじまり”の意味があります。就職・転職という新しい人生の“リスタート”といっても過言ではない、一大決心をサポートし続けます。,大阪府大阪市福島区福島2-7-24NANEI福島ビル6F,2019,26.0,14,2百万円,https://inception-ad.com/,,
2024-08-01,株式会社ＦＡＮ　ＳＭＩＬＥ,SP代理店（イベント・販促提案など）,4,■事業内容： イベント企画・制作事業クリエイティブ事業EC事業舞台・映像制作事業キャステング事業中国事業,東京都渋谷区東1-27-1財日ビル2F,2019,32.0,8,20百万円,https://fansmile.co.jp/,,
2024-08-01,株式会社エンシア,Webサービス・Webメディア（EC・ポータル・ソーシャル）,2,■事業領域：（1）採用支援（2）営業コンサルティング（3）ITコンサルティング,東京都港区赤坂3-17-1いちご赤坂Village 5F,2019,,30,8百万円,https://enshia.jp/,,
2024-07-01,ｓｔｕｄｉｏ１５株式会社,Webマーケティング（広告代理店・コンサルティング・制作）,14,■概要： TikTokに特化したプロダクションです。TikTok特化型プロダクションだからこその知見、サポートでTikTok発で成功するクリエイター、お取引先様が増えるよう全力で取り組みます。■事業内容：・クリエイターサポート事業・インフルエンサーマーケティング事業・エンターテイメント事業・ダンス＆ミュージック制作事業,東京都渋谷区宇田川町10-2,2019,,35,41百万円,https://studio15.co.jp/,,
2024-06-01,ソルー株式会社,Webマーケティング（広告代理店・コンサルティング・制作）,1,■インターネットによる広告およびマーケティング事業■WEB集客に関するコンサルティング事業■WEBサイト制作事業■メディア運営事業■人材育成、能力開発のための教育事業および経営コンサルティング事業■インターネットを利用した各種情報提供サービス業■セミナー、イベントおよび講習会の企画、制作および運営■アドテクノロジーの開発事業,東京都台東区上野3-24-6 上野フロンティアタワー16階,2019,25.0,46,1000万円,https://solu.co.jp,代表取締役 下地 麻大,
