更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社Ｔ＆Ｓ,理容・美容・エステ,求人なし,,千葉県船橋市本町1-32-3,2012,,,,8 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 伴野 志保
2024-08-01,株式会社マストビーナイス,理容・美容・エステ,求人なし,,東京都中央区銀座1-4-6紅雀ビル 6Ｆ,2012,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 見木 一雄
2024-08-01,株式会社ルーア,理容・美容・エステ,無,,奈良県生駒市白庭台4-10-1Ⅱ東館 811,2012,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 北本 さおり
2024-08-01,株式会社エバー,理容・美容・エステ,求人なし,,東京都渋谷区道玄坂1-18-3プレミア道玄坂ビル 4Ｆ,2003,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役社長 渡邊 伸一
2024-08-01,ノーブル株式会社,理容・美容・エステ,求人なし,,千葉県船橋市本町3-33-13,2012,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 辻彩（菅野彩）
2024-08-01,株式会社ティエヌ,理容・美容・エステ,求人なし,,東京都中央区日本橋小網町8-2,2012,,,,61 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐々木 えりか（鵜飼えりか
2024-08-01,株式会社アミティエ,理容・美容・エステ,求人なし,,大阪府大阪市北区茶屋町6-20,2012,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙坂 友香
2024-08-01,天和美容室株式会社,理容・美容・エステ,求人なし,,埼玉県秩父市黒谷1213-1,2012,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 宮谷 智和
2024-08-01,株式会社Ｌａｐｉｓ,理容・美容・エステ,求人なし,,東京都北区赤羽2-12-3まつ喜ビル 2Ｆ,2011,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 川上 香子
2024-08-01,株式会社アート・アップ,理容・美容・エステ,求人なし,,東京都港区南青山6-3-14サントロペ南青山 402,1996,,,,25 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 荻原 裕
2024-08-01,株式会社Ｍａｘａｂｉｌｉｔｙ,理容・美容・エステ,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 アイゾーン専門サロンの運営、及びそれらに係るスクール事業、フランチャイズ事業 2022年11月doda掲載求人より引用,東京都港区南青山3-1-3ＳＰＬＩＮＥ青山東急ビル 6Ｆ,2010,,,,9 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 會田 孝弥
2024-08-01,株式会社アジアンブリーズ,理容・美容・エステ,求人なし,,東京都世田谷区池尻3-13-1,2003,,,,30 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 長谷部 俊和
2024-08-01,有限会社ミナミ国際美容,理容・美容・エステ,求人なし,,東京都豊島区池袋2-22-1添田ビル 2Ｆ,2001,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 張 明明
2024-08-01,株式会社エーケーエー,理容・美容・エステ,求人なし,,東京都港区六本木6-2-31六本木ヒルズノースタワー 17Ｆ,1998,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 赤坂 靖子
2024-08-01,プロパガンダヘア株式会社,理容・美容・エステ,求人なし,,東京都渋谷区笹塚1-21-17,2012,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 川口 晃慶
2024-08-01,株式会社グローバル・ハピネス,理容・美容・エステ,求人なし,,福岡県福岡市中央区大名1-7-3,2012,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大内田 万理
2024-08-01,リノビューティー株式会社,理容・美容・エステ,求人なし,,鹿児島県鹿児島市上之園町20-1ＲＩ－ＮＯ館ＩＩＩ 4Ｆ,2006,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山元 敬子
2024-08-01,株式会社マサマ,理容・美容・エステ,求人なし,,大阪府大阪市中央区南本町2-2-3本町ＵＮＩＣＯビル 7Ｆ,2012,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 丸井 麻記子
2024-08-01,株式会社ＬＯＰＥ,理容・美容・エステ,求人なし,,東京都豊島区南大塚3-52-8タサキビル 301,2012,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小林 徹生
2024-08-01,株式会社ルプラボウ,理容・美容・エステ,求人なし,,愛知県豊橋市八町通3-3ＭＯＯビューティーアソシエーション 2Ｆ,1992,,,,11 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 杉浦 孝次
2024-08-01,株式会社ボヌール,理容・美容・エステ,求人なし,,三重県伊勢市小俣町元町269-6,2012,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 北岡 良美
2024-08-01,株式会社Ｒａｙ・Ｑｕａｌｉａ,理容・美容・エステ,求人なし,,東京都渋谷区元代々木町54-1東京セントラル代々木 202,2004,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中村 光子
2024-08-01,株式会社Ｂ　ｎｅｘｔ,理容・美容・エステ,求人なし,,愛知県名古屋市中村区亀島2-1-1新名古屋センタービル清正公街 1Ｆ,2012,,,,25 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 浜本 達也
2024-08-01,株式会社オーセンティック,理容・美容・エステ,求人なし,,東京都豊島区西池袋1-9-11708カーサ池袋,2012,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 坂原 剛
2024-08-01,株式会社Ｃｒｅａｍ,理容・美容・エステ,求人なし,,東京都港区南青山6-6-20ムーラ青山 Ｂ,2005,,,,13 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 脇田 勝彦
2024-08-01,株式会社リンリン,理容・美容・エステ,無,,愛知県名古屋市中区栄5-10-3ＫＭビル 2Ｆ,2008,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松浦 喜美恵
2024-08-01,株式会社ＳＰＥＥＤＹ,理容・美容・エステ,求人なし,,東京都港区南青山1-15-9第45興和ビル 8Ｆ,2012,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 齋藤 光司
2024-08-01,株式会社上々,理容・美容・エステ,求人なし,,愛知県瀬戸市共栄通6-21エーシープラザ 2Ｆ,2012,,,,5 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 竹村 陽子
2024-08-01,株式会社Ｄｕｌｃｉｎｅａ,理容・美容・エステ,求人なし,,東京都中央区入船2-2-51Ｆ,2012,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 本 浩二
2024-08-01,株式会社ユウアイカット,理容・美容・エステ,求人なし,,埼玉県八潮市八潮8-10-8,2008,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 坂部 賢治
2024-08-01,ＪＯＢ　ＳＨＯＰ株式会社,理容・美容・エステ,求人なし,,大阪府大阪市中央区東心斎橋1-13-5,2006,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 森崎 成騎
2024-08-01,株式会社グッドスタイルカンパニー,理容・美容・エステ,求人なし,,静岡県掛川市宮脇248-1,2004,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 杉山 岳
2024-08-01,株式会社アルジャンスー,理容・美容・エステ,求人なし,,東京都台東区柳橋1-3-7,2006,,,,5 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 石 銀実
2024-08-01,楽かん株式会社,理容・美容・エステ,求人なし,,大阪府大阪市中央区上汐2-3-6上汐中央ビル 101,2012,,,,6 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 平沼 麻理子
2024-08-01,株式会社オーツー,理容・美容・エステ,求人なし,,埼玉県深谷市東方町3-36-22,2012,,,,9 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社美匠うえの,理容・美容・エステ,求人なし,,群馬県館林市赤生田町2135,2012,,,,5 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 上野 洋子
2024-08-01,株式会社アユミーノ,理容・美容・エステ,求人なし,,東京都中央区築地4-13-11,2012,,,,6 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 内山 あゆみ
2024-08-01,有限会社ラ・ドンナ,理容・美容・エステ,求人なし,,東京都世田谷区深沢7-12-3,1992,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 吉田 美智子
2024-08-01,株式会社ＤＲ．ＨＡＹＡＳＨＩ,理容・美容・エステ,求人なし,,愛知県刈谷市銀座3-59-2,2012,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 久保 伊織
2024-08-01,株式会社ビューティーワークスジャパン,理容・美容・エステ,求人なし,,東京都墨田区江東橋4-28-32Ｆ,2012,,,,50 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉川 興造
2024-08-01,エイチエムケイソリューション株式会社,理容・美容・エステ,求人なし,,東京都港区南青山5-10-5,2012,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 日髙 大輔
2024-08-01,株式会社ｌｕｎａ　ｅｍｏｔｉｏｎ,理容・美容・エステ,求人なし,,東京都日野市富士町1-31ビバヒルズ 733,2012,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 林 達也
2024-08-01,有限会社アクア商事,理容・美容・エステ,無,【理容室・美容室】2004年設立20年の成長中の会社です。＜地域NO1のファミリーサロンを目指して200店舗以上！＞■北海道 ■青森県 ■秋田県 ■岩手県 ■山形県 ■宮城県 ■福島県■群馬県 ■栃木県 ■茨城県 ■埼玉県 ■千葉県 ■東京都 ■山梨県 ■長野県 ■静岡県 ■愛知県 ■新潟県 ■富山県 ■三重県 ■沖縄県 2024年3月doda掲載求人より引用,茨城県猿島郡境町大字長井戸798-1,2004,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 渋谷 茂
